conversation_id,example_id,input_text,target_text,split
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_3_5,Can you play something by Whitney Houston.,"Whitney Houston, let me find you something. How about the song called I Look to You by Whitney Houston?",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_6_8,It sounds good. Can you play the same song but like performed by someone else?,Yes. Here's the same song called I look to you Cover By Aldrich & James.,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_9_17,Can you find something like another kind of a cover by a kid?,Here's a song diamonds originally by Rihanna Cover by One Voice Children's Choir. Written by Sia.,train
dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_1_8,"Hello. Could you play something from the band Creed, please?",Here is Creed - With Arms Wide Open. Here is Creed - My Sacrifice. Here is Creed - Higher.,validation
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_2_7,Can you play me a country song?,How about Tennessee Whiskey by Chris Stapleton? Here's the song called Blue Ain't Your Color by Keith Urban.,train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_8_9,I'm really not a fan of Keith Urban. Do you think you could find somebody else?,How about Losing Sleep by Chris Young?,train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_11_13,No. Play You think you could just find a female singer?,Female singer? Let me see what I can find. Here is the song called When You Say Nothing At All by Alison Krauss.,train
dlg-00bca323-87d8-4a93-970c-b6eae2f7827e,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_0_4,Can you play something by August Burns Red? This is my favorite song right now. Can you play some old songs of August Burns Red?,Here's the song You should be taking flight right now.,validation
dlg-00bca323-87d8-4a93-970c-b6eae2f7827e,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_5_7,I haven't heard this in a really long time. Okay. Can you play something a little more recent by August Burns Red?,Here is the song King of Sorrow by August Burns Red.,validation
dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_1_4,Hello.Play me Sia.,"Let me see what I can find?Here is The Greatest, by Sia. Here is another song by Sia, this one is Elastic Heart.",train
dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea,dlg-00df2921-7b74-4c1a-82eb-51ebd2b46dea_5_8,"Yes. I like that one, too.Play me something different. Maybe something more upbeat. Sia.","Here is Sia, performing Bird Set Free.",train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_0_1,"Hello Assistant, I would like to hear some music by Michael Buble.","Here is your song, Close Your Eyes by Michael Buble.",train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_3_4,"Assistant, thank you for the song. Could I hear something a little bit more upbeat?","Sure, here we go. It's a Beautiful Day by Michael Buble.",train
dlg-01216494-fbba-4866-817e-01c5326f8912,dlg-01216494-fbba-4866-817e-01c5326f8912_6_7,"Really good song, Assistant. Thank you. Could I hear one more upbeat song by Michael Bublé?","Here is your song, LOVE by Michael Buble.",train
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_0_1,"Hey, Can I hear a song by Lorde?",Here's the song Perfect places by Lorde.,test
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_2_3,Cool. Can I hear some older material by her?,Here's the song Royals by Lorde.,test
dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c,dlg-013d41ac-fdd2-47a2-9f25-61c4554fcf7c_4_5,"Okay, I don't want this one. Can I get the same song by a different artist?",Here's the song Royals remix by Rick Ross.,test
dlg-013fffb7-bb46-480f-b17c-765239f37d7a,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_1_8,Can I hear a song by Diplo?,How about Set Me Free? Here's Set Me Free by Diplo. How about Diplo Revolution? Here's Diplo-Revolution.,train
dlg-013fffb7-bb46-480f-b17c-765239f37d7a,dlg-013fffb7-bb46-480f-b17c-765239f37d7a_9_12,That song sounds pretty cool. Can you find me a song by Big Sean now?,How about Big Sean Sacrifices? Here's Big Sean-Sacrifices.,train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_0_2,Hello. I'd like to listen to some music by AC/DC.,Here's Highway to Hell by AC/DC.,train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_3_8,"I really like this song. It's mellow, but it's also very rock n' roll. I'd like to listen to another song by a similar artist.",Here's a similar song. It's called Eye Of The Tiger by Survivor. Here's We Will Rock You by Queen.,train
dlg-01440f9a-99bf-496a-8258-e2450f2e43b1,dlg-01440f9a-99bf-496a-8258-e2450f2e43b1_9_10,I really like this song. It pumps you up. I'd like to listen to another song by a similar artist.,Here's Michael Jackson Beat It.,train
dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511,dlg-0164bd68-d4bc-4b68-b4b3-ca460b3e3511_4_24,Alter Bridge.,"Okay, let me see who I can find based on Alter Bridge. Have you heard of Seether or Staind? How about days of the new or p.o.d? Let me see what I can find by p.o.d. Here is Beautiful by p.o.d. Here is a satellite by p.o.d.",train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_2_10,I would like some help browsing some music on YouTube from Florence and the Machine.,Here is the song called Drumming Song lyrics by Florence and the Machine. How about Shake It Out by Florence and the Machine?,train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_13_14,"Yeah, I like that. But how about something older?",Here is an old song called Dog Days Are Over by Florence and the Machine.,train
dlg-020ce3d1-20d4-4376-b459-373e92661e20,dlg-020ce3d1-20d4-4376-b459-373e92661e20_16_17,"Well, that's kind of slow to get started. Let's try one more. Let's try something newer now.",How about Too Much Is Never Enough by Florence and the Machine?,train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_2_15,"I'd like help discovering some new music, please. Justin Timberlake.","OK. Justin Timberlake. Let's see what else I can find that you may not be familiar with. Looks like the artist Robin Thicke may be similar/have similar style/might be a close match/etc. Another is Pharrel . Are either of those new to you? Here is a song ""Happy"" by Pharrel Williams. Here is the song called Come Get It Bae by the artist Pharrell Williams.",train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_18_19,That's pretty good. Nice upbeat.,Ok let's look for something based on another of your favorite artists.,train
dlg-02165c6f-c081-4ff3-afd7-28c4486a749b,dlg-02165c6f-c081-4ff3-afd7-28c4486a749b_20_29,Michael Jackson.,"Here is the song Yeah by the artist Usher featuring Lil Jon, Ludacris. Here is the song called DJ Got Us Falling In Love Again by the artist Usher featuring Pitbull.",train
dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de,dlg-022c9cd5-ac39-40c9-a627-dda3b30f83de_0_13,"Hello. Can you play something from The Cure, please?","Is this by Lady Gaga, is that correct? Here is 'Just like heaven' by The Cure. Would you like it by The Cure? Here is 'Pictures of you' by The Cure. Here is 'Lullaby' by The Cure.",validation
dlg-02426869-9323-446c-91f0-46a6aec6b287,dlg-02426869-9323-446c-91f0-46a6aec6b287_0_11,"Please play something else by Daft Punk. Please play Get Lucky by Daughter. The name is Daughter. This sounds darker than the original, and I really like that. Gives a whole, new, different vibe.",It gives you a different feel.,validation
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_0_4,Hi. I was wondering if you could play me some music. How about something by The Counting Crows?,Mr Jones by Counting Crows.,train
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_5_6,How about playing some newer Counting Crows? Maybe something of their latest album.,Palisades Park by Counting Crows.,train
dlg-0242d167-3de8-4220-8d29-ae47332f2d57,dlg-0242d167-3de8-4220-8d29-ae47332f2d57_8_9,"May be a Counting Crows song done by somebody else, like a cover of a Counting Crows song.",Round Here by Jupiter Jones.,train
dlg-0254b1a9-cf62-4ce7-a767-2321011968e3,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_0_2,"Hi, Can I hear an Ariana Grande song?","Sure, Ariadne grande coming up. Here is Ariana Grande side to side.",test
dlg-0254b1a9-cf62-4ce7-a767-2321011968e3,dlg-0254b1a9-cf62-4ce7-a767-2321011968e3_3_7,"Can I hear something from the Dangerous Woman album? Rage tank. Rage tank, I don't like this song.",Here is Ariana Grande into you off of the dangerous woman album.,test
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_1_4,I'd like to listen something in the category that helps with studying.,How about Gil Scott - Heron performing Pieces Of A Man.,train
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_7_8,"I think I actually feel like this song, but I think I need something more like traditional jazz to help with studying.",How about Thelonious Monk performing Don't Blame Me?,train
dlg-02cefa1c-4232-4568-9889-b2fdca3264a5,dlg-02cefa1c-4232-4568-9889-b2fdca3264a5_9_11,"Now, that might be very good. How about something a little I do like this, but I just want to change it just a little bit. Something in-between. Maybe something a little more upbeat like Spyro Gyra?",Heroes Morning dance performed by Spyro Gyra.,train
dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20,dlg-02dcd247-33ce-48f4-b3b5-7ad75fec9c20_2_7,"How about something from The Beatles, please?",Here's the song Hey Jude by the Beatles. Here's the song Here Comes the Sun by The Beatles. Here is the song Let It Be by the Beatles from the album Let It Be.,train
dlg-0300b764-6e70-42e0-9403-cda9a0711761,dlg-0300b764-6e70-42e0-9403-cda9a0711761_0_1,"Hi, Could you play me something by Katy Perry?",Here is the song Roar by Katy Perry.,validation
dlg-0300b764-6e70-42e0-9403-cda9a0711761,dlg-0300b764-6e70-42e0-9403-cda9a0711761_2_3,How about something older?,Here is Dark Horse covered by Our Last Night.,validation
dlg-033056a0-a119-4e7e-a71c-52297a102d7c,dlg-033056a0-a119-4e7e-a71c-52297a102d7c_0_9,Hi. I'd like to listen to some music that's similar to Linkin Park.,I think you said you wanted music similar to Linkin Park? How about 30 Seconds to Mars? Should I play another song by 30 Seconds to Mars?,train
dlg-033056a0-a119-4e7e-a71c-52297a102d7c,dlg-033056a0-a119-4e7e-a71c-52297a102d7c_11_17,This was a good band. Show me another band.,"I think you said another band similar to both Linkin Park and 30 Seconds to Mars, correct? My mistake, Linkin Park. Should I play another song by The Offspring?",train
dlg-03454801-7e5a-4804-8ce0-0d6feb91128b,dlg-03454801-7e5a-4804-8ce0-0d6feb91128b_1_3,Hello. Can you play some music by August Burns Red?,Here is August Burns Red composure.,train
dlg-03454801-7e5a-4804-8ce0-0d6feb91128b,dlg-03454801-7e5a-4804-8ce0-0d6feb91128b_4_5,"Okay, that's great. Now, can you play something older by August Burns Red?",Here is August Burns Red - Missing this Opportunity.,train
dlg-03454801-7e5a-4804-8ce0-0d6feb91128b,dlg-03454801-7e5a-4804-8ce0-0d6feb91128b_6_7,I don't want what's playing. Could you play older material?,The song playing is from their first album from 2004.,train
dlg-03454801-7e5a-4804-8ce0-0d6feb91128b,dlg-03454801-7e5a-4804-8ce0-0d6feb91128b_8_11,"Oh, okay. Well, it's pretty decent.",Here's the song Glory thrives by August Burns Red.,train
dlg-034a10d0-1b58-430c-bb4e-706e0c36d48a,dlg-034a10d0-1b58-430c-bb4e-706e0c36d48a_0_5,Hi assistant. I'd like to hear some music by Billy Joel.,Here's the song Piano Man by Billy Joel. Piano Man is Billy Joel's first release as an artist. Would you like another song from the same album?,validation
dlg-034a10d0-1b58-430c-bb4e-706e0c36d48a,dlg-034a10d0-1b58-430c-bb4e-706e0c36d48a_6_7,"Yes. Sure, that sounds good.",Here's the song She Is Always A Woman To Me by Billy Joel.,validation
dlg-034a10d0-1b58-430c-bb4e-706e0c36d48a,dlg-034a10d0-1b58-430c-bb4e-706e0c36d48a_8_9,Thank you. I really like that song. Could I hear the same song by a different artist?,Here's Josh Groban singing Billy Joel's She's Always a Woman.,validation
dlg-0370cc86-87ec-4ac3-b992-dc0961e39607,dlg-0370cc86-87ec-4ac3-b992-dc0961e39607_1_2,Could you play me a song by Moan?,Nirvana - Come As You Are.,train
