conversation_id,example_id,input_text,target_text,split
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_0_2,Hello. I'd like to find a round trip commercial airline flight from San Francisco to Denver.,"San Francisco to Denver, got it.",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_6_9,"I'm looking to fly out sometime today, the earliest time today, and I'll be returning in 4 days. So, I would like to fly out sometime tonight and fly back in the evening in 4 days. From I'm looking to go to Denver. I'm flying out of San Francisco.",That's right okay we have prices starting at $337.,validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_10_14,That sounds very good. I just have two preferences. I want a nonstop flight. And I'd like to get an aisle seat.,"Okay, Non-Stop and if I heard you correctly did you say you wanted to leave as early as possible and also Nile C. Okay, you got it so it looks like United Airlines leaves at 9:20 p.m. that is nonstop the flight duration is 2 hours and 28 minutes and is priced at $337.",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_17_19,And what time will I be I would like an evening flight on the return flight in 4 days.,How does 5:30 a.m. work?,validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_20_24,"Well, the evening works better.","Alright, perfect so that is United Airlines as well.",validation
dlg-0027f924-7723-48bc-bf18-e41c03b0e709,dlg-0027f924-7723-48bc-bf18-e41c03b0e709_1_2,"Hi, I need to find a flight from JFK to Seattle.",Okay from JFK to seattle.,test
dlg-0027f924-7723-48bc-bf18-e41c03b0e709,dlg-0027f924-7723-48bc-bf18-e41c03b0e709_5_8,I would like to fly on April 1st and return on April 4th. I would like to fly on Delta.,"Alright, there are plenty of flights with Delta. What else can you tell me?",test
dlg-0027f924-7723-48bc-bf18-e41c03b0e709,dlg-0027f924-7723-48bc-bf18-e41c03b0e709_9_26,Excellent. I would like the economy. And I would like a non-stop flight. And I would prefer to leave in the morning.,I see that there is one flight on April 1st which is at 8 AM. At 8 AM. You will arrive in Seattle at 11:18 AM. There are two timings on Apr 4 which is at 7:40 AM and 10:15 AM. Which one do you need?,test
dlg-0027f924-7723-48bc-bf18-e41c03b0e709,dlg-0027f924-7723-48bc-bf18-e41c03b0e709_27_34,"I will take the 10:15 AM, please.","Okay, 10:15 AM. You will arrive back in JFK at 6:42 PM. The total for this economy non-stop flight with delta is $421. I'll send you the details.",test
dlg-0047a087-6a3c-4f27-b0e6-268f53a2e013,dlg-0047a087-6a3c-4f27-b0e6-268f53a2e013_4_11,I'm looking to travel from March 20th to 22nd. I'd like to travel in the morning and the economy class is fine. Economy class.,I found a flight for $424 on United Airlines.,train
dlg-0047a087-6a3c-4f27-b0e6-268f53a2e013,dlg-0047a087-6a3c-4f27-b0e6-268f53a2e013_12_17,"Okay, is that for New York? Is that nonstop?",One stop at Chicago O'Hare for 3 hours. Booking flight.,train
