conversation_id,utterance_id,turn_id,speaker,text,segments,split
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_1,1,USER,"Hi, I need help finding a sandwich shop to go eat at.","[{""start_index"":26,""end_index"":34,""text"":""sandwich"",""annotations"":[{""name"":""restaurant.type.food""}]}]",train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_6,6,ASSISTANT,Zoccoli's Delicatessen at 1534 Pacific Avenue.,"[{""start_index"":0,""end_index"":22,""text"":""Zoccoli's Delicatessen"",""annotations"":[{""name"":""restaurant.name.restaurant""}]},{""start_index"":26,""end_index"":45,""text"":""1534 Pacific Avenue"",""annotations"":[{""name"":""restaurant.location""}]}]",train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_8,8,ASSISTANT,"Next, The Sandwich Spot at 1010 Pacific Avenue.","[{""start_index"":6,""end_index"":23,""text"":""The Sandwich Spot"",""annotations"":[{""name"":""restaurant.name.restaurant""}]},{""start_index"":27,""end_index"":46,""text"":""1010 Pacific Avenue"",""annotations"":[{""name"":""restaurant.location""}]}]",train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_10,10,ASSISTANT,Here’s the next one. Erik’s Deli Cafe at 155 Walnut Avenue.,"[{""start_index"":21,""end_index"":37,""text"":""Erik’s Deli Cafe"",""annotations"":[{""name"":""restaurant.name.restaurant""}]},{""start_index"":41,""end_index"":58,""text"":""155 Walnut Avenue"",""annotations"":[{""name"":""restaurant.location""}]}]",train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_12,12,ASSISTANT,Here’s the next one. Togo’s Sandwiches at 902 Ocean Street. Last one. The Picnic Basket at 125 Beach Street.,"[{""start_index"":21,""end_index"":38,""text"":""Togo’s Sandwiches"",""annotations"":[{""name"":""restaurant.name.restaurant""}]},{""start_index"":42,""end_index"":58,""text"":""902 Ocean Street"",""annotations"":[{""name"":""restaurant.location""}]},{""start_index"":70,""end_index"":87,""text"":""The Picnic Basket"",""annotations"":[{""name"":""restaurant.name.restaurant""}]},{""start_index"":91,""end_index"":107,""text"":""125 Beach Street"",""annotations"":[{""name"":""restaurant.location""}]}]",train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_14,14,USER,Some good choices. I think I like Erik's.,"[{""start_index"":34,""end_index"":40,""text"":""Erik's"",""annotations"":[{""name"":""restaurant.name.restaurant""}]}]",train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_16,16,USER,Nothing else. I have some information about some of these. I'll check out Erik's. Thank you for pointing me in that direction.,"[{""start_index"":74,""end_index"":80,""text"":""Erik's"",""annotations"":[{""name"":""restaurant.name.restaurant""}]}]",train
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_1,1,USER,"Hi, currently I'm in IKEA, California. I'm looking for restaurant to eat dinner.","[{""start_index"":21,""end_index"":37,""text"":""IKEA, California"",""annotations"":[{""name"":""restaurant.location""}]},{""start_index"":73,""end_index"":79,""text"":""dinner"",""annotations"":[{""name"":""restaurant.type.meal""}]}]",test
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_3,3,USER,Some thing like an American food.,"[{""start_index"":19,""end_index"":27,""text"":""American"",""annotations"":[{""name"":""restaurant.type.food""}]}]",test
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_4,4,USER,"But, I want a good atmosphere.","[{""start_index"":14,""end_index"":29,""text"":""good atmosphere"",""annotations"":[{""name"":""restaurant.other_description""}]}]",test
