conversation_id,utterance_id,turn_id,speaker,text,segments,split
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_4,4,USER,"Davis, California.","[{""start_index"":0,""end_index"":17,""text"":""Davis, California"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_6,6,USER,Action.,"[{""start_index"":0,""end_index"":6,""text"":""Action"",""annotations"":[{""name"":""movie_search.genre""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_7,7,ASSISTANT,"Okay, let me see what action films are currently available nearby.","[{""start_index"":22,""end_index"":28,""text"":""action"",""annotations"":[{""name"":""movie_search.genre""}]},{""start_index"":59,""end_index"":65,""text"":""nearby"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_10,10,ASSISTANT,Baby driver.,"[{""start_index"":0,""end_index"":11,""text"":""Baby driver"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_11,11,ASSISTANT,The Mummy.,"[{""start_index"":0,""end_index"":9,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_12,12,ASSISTANT,Guardians of the Galaxy: Vol 2.,"[{""start_index"":0,""end_index"":30,""text"":""Guardians of the Galaxy: Vol 2"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_13,13,USER,The Mummy.,"[{""start_index"":0,""end_index"":9,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_14,14,ASSISTANT,"Would you like to see the trailer for ""The Mummy""?","[{""start_index"":39,""end_index"":48,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_17,17,ASSISTANT,"Here's the trailer for ""The Mummy"".","[{""start_index"":24,""end_index"":33,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_24,24,ASSISTANT,"Would you like to go see ""The Mummy""?","[{""start_index"":26,""end_index"":35,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_26,26,ASSISTANT,Okay. The Mummy is playing at 4:30 pm this afternoon at Regal Davis Stadium 5.,"[{""start_index"":6,""end_index"":15,""text"":""The Mummy"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":30,""end_index"":37,""text"":""4:30 pm"",""annotations"":[{""name"":""movie_search.time.start""}]},{""start_index"":56,""end_index"":77,""text"":""Regal Davis Stadium 5"",""annotations"":[{""name"":""movie_search.name.theater""}]}]",train
dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_1,1,USER,"Hi there. I'm looking for a mystery movie to watch at home, And I'm hoping it's based on an actual event and fairly recent.","[{""start_index"":28,""end_index"":35,""text"":""mystery"",""annotations"":[{""name"":""movie_search.genre""}]},{""start_index"":80,""end_index"":104,""text"":""based on an actual event"",""annotations"":[{""name"":""movie_search.other_description""}]},{""start_index"":109,""end_index"":122,""text"":""fairly recent"",""annotations"":[{""name"":""movie_search.other_description""}]}]",train
dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_2,2,ASSISTANT,Sure let me find few for you. Lonely Hearts or Wolf Creek or Savage Grace?,"[{""start_index"":30,""end_index"":43,""text"":""Lonely Hearts"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":47,""end_index"":57,""text"":""Wolf Creek"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":61,""end_index"":73,""text"":""Savage Grace"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_3,3,ASSISTANT,Lonely Hearts or Wolf Creek or Savage Grace?,"[{""start_index"":0,""end_index"":13,""text"":""Lonely Hearts"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":17,""end_index"":27,""text"":""Wolf Creek"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":31,""end_index"":43,""text"":""Savage Grace"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_4,4,USER,Show me the trailer for Lonely Hearts.,"[{""start_index"":24,""end_index"":37,""text"":""Lonely Hearts"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",train
dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_7,7,USER,I'ld like it to watch on Netflix.,"[{""start_index"":25,""end_index"":32,""text"":""Netflix"",""annotations"":[{""name"":""movie_search.streaming_service""}]}]",train
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_3,3,ASSISTANT,Are you looking for Palm Springs California?,"[{""start_index"":20,""end_index"":43,""text"":""Palm Springs California"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_6,6,USER,Anywhere within 4 miles from me.,"[{""start_index"":9,""end_index"":31,""text"":""within 4 miles from me"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_8,8,USER,"Between 9:00 PM and 10:30 PM, tonight.","[{""start_index"":0,""end_index"":28,""text"":""Between 9:00 PM and 10:30 PM"",""annotations"":[{""name"":""movie_search.time.start""}]}]",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_9,9,ASSISTANT,I have Chips playing at 9:50 PM. I have Get Out playing at 10:15 PM. and Snaps playing at 10:25 PM.,"[{""start_index"":7,""end_index"":12,""text"":""Chips"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":24,""end_index"":31,""text"":""9:50 PM"",""annotations"":[{""name"":""movie_search.time.start""},{""name"":""movie_ticket.time.start""}]},{""start_index"":40,""end_index"":47,""text"":""Get Out"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":59,""end_index"":67,""text"":""10:15 PM"",""annotations"":[{""name"":""movie_search.time.start""}]},{""start_index"":73,""end_index"":78,""text"":""Snaps"",""annotations"":[{""name"":""movie_search.name.movie""}]},{""start_index"":90,""end_index"":98,""text"":""10:25 PM"",""annotations"":[{""name"":""movie_search.time.start""}]}]",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_10,10,USER,I'd like to choose Chips.,"[{""start_index"":19,""end_index"":24,""text"":""Chips"",""annotations"":[{""name"":""movie_search.name.movie""}]}]",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_11,11,ASSISTANT,"You've got it, Chips is playing at Regency Cathedral City 10 located at 34491 palm Drive.","[{""start_index"":15,""end_index"":20,""text"":""Chips"",""annotations"":[{""name"":""movie_search.name.movie""},{""name"":""movie_ticket.name.movie""}]},{""start_index"":35,""end_index"":60,""text"":""Regency Cathedral City 10"",""annotations"":[{""name"":""movie_search.name.theater""},{""name"":""movie_ticket.name.theater""}]},{""start_index"":72,""end_index"":88,""text"":""34491 palm Drive"",""annotations"":[{""name"":""movie_search.location.theater""}]}]",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_12,12,USER,What are the ticket prices for one adult?,"[{""start_index"":31,""end_index"":40,""text"":""one adult"",""annotations"":[{""name"":""movie_ticket.num.tickets""}]}]",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_13,13,ASSISTANT,Adult movie ticket prices at that time is $3.,"[{""start_index"":42,""end_index"":44,""text"":""$3"",""annotations"":[{""name"":""movie_search.price.ticket""}]}]",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_15,15,ASSISTANT,The main actors are Dax Shepard and Michael Pena.,"[{""start_index"":20,""end_index"":31,""text"":""Dax Shepard"",""annotations"":[{""name"":""movie_search.real_person""}]},{""start_index"":36,""end_index"":48,""text"":""Michael Pena"",""annotations"":[{""name"":""movie_search.real_person""}]}]",test
