conversation_id,example_id,source_id,input_text,target_text,split
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_3_5__g1,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_3_5,"Whitney Houston, let me find you something. How about the song called I Look to You by Whitney Houston?",Let me find something for you. Would you like to hear the song I Look to You by Whitney Houston?,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_3_5__g2,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_3_5,"Whitney Houston, let me find you something. How about the song called I Look to You by Whitney Houston?",I'll look for something for you. How about the Whitney Houston track titled I Look to You?,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_6_8__g1,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_6_8,Yes. Here's the same song called I look to you Cover By Aldrich & James.,Yes. Here is the song titled I look to you Cover By Aldrich & James.,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_6_8__g2,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_6_8,Yes. Here's the same song called I look to you Cover By Aldrich & James.,"Yes. I am providing the same song, I look to you Cover By Aldrich & James.",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_9_17__g1,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_9_17,Here's a song diamonds originally by Rihanna Cover by One Voice Children's Choir. Written by Sia.,"Here is the song Diamonds, originally by Rihanna and covered by One Voice Children's Choir, written by Sia.",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_9_17__g2,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_9_17,Here's a song diamonds originally by Rihanna Cover by One Voice Children's Choir. Written by Sia.,"I'm providing Diamonds, a song by Rihanna covered by One Voice Children's Choir and written by Sia.",train
dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_1_8__g1,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_1_8,Here is Creed - With Arms Wide Open. Here is Creed - My Sacrifice. Here is Creed - Higher.,"I have Creed - With Arms Wide Open here, along with Creed - My Sacrifice and Creed - Higher.",validation
dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_1_8__g2,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_1_8,Here is Creed - With Arms Wide Open. Here is Creed - My Sacrifice. Here is Creed - Higher.,"Here are the songs Creed - With Arms Wide Open, Creed - My Sacrifice, and Creed - Higher.",validation
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_2_7__g1,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_2_7,How about Tennessee Whiskey by Chris Stapleton? Here's the song called Blue Ain't Your Color by Keith Urban.,What do you think of Tennessee Whiskey by Chris Stapleton? I have the song Blue Ain't Your Color by Keith Urban here for you.,train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_2_7__g2,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_2_7,How about Tennessee Whiskey by Chris Stapleton? Here's the song called Blue Ain't Your Color by Keith Urban.,How does Tennessee Whiskey by Chris Stapleton sound? Here is the track Blue Ain't Your Color by Keith Urban.,train
