conversation_id,example_id,input_text,target_text,split
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_1_12,"Hi, I need help finding a sandwich shop to go eat at.","Zoccoli's Delicatessen at 1534 Pacific Avenue. Next, The Sandwich Spot at 1010 Pacific Avenue. Here’s the next one. Erik’s Deli Cafe at 155 Walnut Avenue. Here’s the next one. Togo’s Sandwiches at 902 Ocean Street. Last one. The Picnic Basket at 125 Beach Street.",train
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_1_5,"Hi, currently I'm in IKEA, California. I'm looking for restaurant to eat dinner. Some thing like an American food. But, I want a good atmosphere.","I have Wildflower Cafe and Bakery, Chester's Chicken, The Big Blue Cafe.",test
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_6_9,What's the atmosphere like at The Big Blue Cafe?,Causal. $8 to $10.,test
dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_1_2,I am looking for a place to have dinner tonight.,"I see that you're in Austin, Texas. Is that where you would like me to find you a restaurant?",train
dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_5_6,Burgers and Fries.,"Okay, got it. You want burgers and fries. Tell me more about what else you're looking for in the restaurant so I can narrow your choices down.",train
dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_7_12,A full service bar around $20 per plate. Authentic American food.,"I found a highly rated restaurant called Second Floor in Kitchen, it is 4.3 stars out of 5 and it's described is New American tasting menus in a sophisticated setting. How does it sound?",train
dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_13_20,"Actually, I'd rather have Mexican food.","There is Fonda San Miguel, it is a sophisticated Mexican restaurant with a Twist on the cuisine and a colorful and Hacienda style space and has 4.3 stars out of 5. Do you want to hear more about the menu? They are located at 2330 W N Loop Blvd.",train
dlg-007456aa-0354-4570-9464-ddbde9959b5b,dlg-007456aa-0354-4570-9464-ddbde9959b5b_1_9,I'm looking for a place to have dinner in Washington DC. I would like the place to be formal and have live music. Burgers. At least four stars.,"I found a restaurant for you called the Good Stuff Eatery. Casual, multilevel upscale-industrial spot serving gourmet burgers, fries, shakes & salads.",test
dlg-007bf750-9272-4aa9-90d5-26ea9db5f0f5,dlg-007bf750-9272-4aa9-90d5-26ea9db5f0f5_2_31,"I'm looking to find a restaurant that's downtown in the Austin, Texas area. I'm looking for something that is relatively cheap. I'm looking for either Italian or Thai. Probably Thai. I'm looking for a restaurant that's kind of quiet, family atmosphere, one that I could sit down and eat. I'm looking for something that's rated between three and four stars. The price range would probably fit in my criteria. Five stars would be good too but whatever works. I'm just looking for something downtown, though.","Koriente restaurant. It has 4.3 stars. Pan-Asian fare, including vegan & gluten-free options in a homey, easygoing eatery with a patio. The second is called Osteria Pronto. It has 3.9 stars. Upscale, Airy Italian restaurant within the JW Marriott Hotel featuring housemade pastas & more. Okay, Koriente restaurant.",validation
dlg-008c4963-7243-447e-aa61-0b49b81aea61,dlg-008c4963-7243-447e-aa61-0b49b81aea61_1_15,"I need a place for lunch. Mexican food. In Davis, California.","Are you looking for something inexpensive? The first is Dos Coyotes Border Cafe, an authentic mexican taqueria, with a great atmosphere and outdoor seating. The second is Taqueria Guadalajara, they offer Burritos, tortas, tacos & other filling Mexican grub served up in a simple setting. The third is, Taqueria Davis, a small, local taqueria with friendly staff, and a diverse menu.",test
dlg-009ff778-5f45-4736-9167-aec3d76c903f,dlg-009ff778-5f45-4736-9167-aec3d76c903f_0_2,"I'd like help finding a restaurant in Rochester, New York.","Okay, restaurants in Rochester, New York?",validation
dlg-009ff778-5f45-4736-9167-aec3d76c903f,dlg-009ff778-5f45-4736-9167-aec3d76c903f_3_11,Do you have a formal seafood restaurant? Can the restaurant be downtown? Can the restaurant be downtown?,"Ok, downtown location. I have a few restaurants with those features. The Park Avenue Pub has a 4.7 star rating.",validation
dlg-009ff778-5f45-4736-9167-aec3d76c903f,dlg-009ff778-5f45-4736-9167-aec3d76c903f_12_13,What time does dinner start?,They are open from 5 P.M - 9 P.M.,validation
dlg-009ff778-5f45-4736-9167-aec3d76c903f,dlg-009ff778-5f45-4736-9167-aec3d76c903f_14_21,What do they have for dessert?,"I'm not seeing any details for desserts. They do not have the pricing available, but they are rated at having 2 dollar signs. Okay. Enjoy your dinner. Until next time. Bye.",validation
dlg-00a30c5d-2de7-4589-8eb3-ffbf2c4ec26c,dlg-00a30c5d-2de7-4589-8eb3-ffbf2c4ec26c_2_5,"I'd like help finding a restaurant in Austin, Texas. Do you have Chinese food?","Yes, Austin, Texas does have it.",train
dlg-00a30c5d-2de7-4589-8eb3-ffbf2c4ec26c,dlg-00a30c5d-2de7-4589-8eb3-ffbf2c4ec26c_8_14,Can it not be more than $20? Can it be downtown?,"I have found a couple of locations, Koriente Restaurant and Wu Chow. The hours are from 11 a.m to 2 p.m and then 5 p.m to 10 p.m.",train
dlg-00a7b42f-d242-47df-826b-b722ac7f5d89,dlg-00a7b42f-d242-47df-826b-b722ac7f5d89_1_3,"I'd like help finding a restaurant in Rochester, New York.","Sure, what cuisine are you interested in?",train
dlg-00a7b42f-d242-47df-826b-b722ac7f5d89,dlg-00a7b42f-d242-47df-826b-b722ac7f5d89_4_11,"Oh, I think the Italian will be good. Yes, I need the one that is not expensive. Family friendly.",I found a couple of places for you. Ristorante Lucano and the Pasta villa,train
dlg-00a7b42f-d242-47df-826b-b722ac7f5d89,dlg-00a7b42f-d242-47df-826b-b722ac7f5d89_12_15,"Okay, what hours are they open?",Both are open till 10 pm. 4.8 and 4.2,train
dlg-00a7b42f-d242-47df-826b-b722ac7f5d89,dlg-00a7b42f-d242-47df-826b-b722ac7f5d89_16_17,Which one has the 4.8?,Ristorante Luciano.,train
dlg-00b515f2-6189-48b3-86ea-729817e0b092,dlg-00b515f2-6189-48b3-86ea-729817e0b092_1_10,"Hi, I'm in Washington DC near the capital, and I need to find a good place to have dinner tonight. I want something organic.","Organic. Did you want it to be vegan as well or no? I have HipCityVeg, Coppi's organic restaurant, and Fruitive. HipCityVeg has 4 and a half stars, and Fruitive and Coppi's organic restaurant both have 4-stars.",train
dlg-00bb90c6-0968-4e40-880b-0857f1692b0b,dlg-00bb90c6-0968-4e40-880b-0857f1692b0b_2_11,"And I'm in Davis, California.","How about above 4.3 Stars? The first one with the lowest rating which is 4.3 stars in the 5 is Lamppost Pizza. The second with the highest rating is Woodstock's Pizza, Davis. Festive parlor with creative toppings.",train
dlg-00c2141d-9aa7-4c33-8058-8f47acba127c,dlg-00c2141d-9aa7-4c33-8058-8f47acba127c_0_9,"Hi, I'm looking for an Indian restaurant. An Indian restaurant. Indian restaurant. Indian food around $10 a meal. Around $10 a meal.","Okay, so cheap.",train
dlg-00c2141d-9aa7-4c33-8058-8f47acba127c,dlg-00c2141d-9aa7-4c33-8058-8f47acba127c_10_25,"Yeah, a nice relaxing environment. Not crowded or loud.","Yes, it is called Golden Father and Mardi Gras Indian gallery. Yeah, it's 4.2 stars out of 5. Closes at 9 pm. 704 N Rampart St, New Orleans, LA 70116",train
dlg-00c553ec-8e97-4a9a-83f0-544b66d83491,dlg-00c553ec-8e97-4a9a-83f0-544b66d83491_2_4,I would like to know about the restaurant timings in California. Are they open for dinner on Sunday?,"Yes, they are open on Sunday.",train
dlg-00c553ec-8e97-4a9a-83f0-544b66d83491,dlg-00c553ec-8e97-4a9a-83f0-544b66d83491_7_8,Do they have vegetarian options?,"Yes, they have vegetarian options.",train
dlg-00c553ec-8e97-4a9a-83f0-544b66d83491,dlg-00c553ec-8e97-4a9a-83f0-544b66d83491_9_10,"How long is the drive from Santa Rosa, California to this restaurant?",2 hours and 8 minutes of driving distance.,train
dlg-00d7a791-d472-42ae-9543-8411a30c7ba5,dlg-00d7a791-d472-42ae-9543-8411a30c7ba5_2_5,"Hi. I'm looking for a restaurant in Santa Cruz, California. In particular, I'm looking for a steakhouse. Yes. I'd like something near downtown that has takeout service, please.","The top three streakhouses located in downtown, Santa cruz are Hindquarters Bar and Grille, The Water Street Grill and Lillians Italian Kitchen.",train
dlg-00d7a791-d472-42ae-9543-8411a30c7ba5,dlg-00d7a791-d472-42ae-9543-8411a30c7ba5_6_14,"Tell me more about Hindquarters, please.","Here is about them from their website. As our name implies, we've made our reputation serving up the finest beef around, perfectly grilled choice sirloins, juicy Angus New York strips, eye-opening Jack's pepper steaks, thick and juicy Filet Mignons, slow-roasted prime rib, hickory-smoked Chicago baby back ribs, half pound burgers and other meaty delights. They have 3 and a half stars out of 5 bases on 282 reviews. The second option had 4 stars based on 232 reviews. The first option was Hindquarters and the second option was Water Street.",train
dlg-00d7a791-d472-42ae-9543-8411a30c7ba5,dlg-00d7a791-d472-42ae-9543-8411a30c7ba5_15_16,"Alright. I want to try Water Street. Could you send me the details, please via email?","You responded asking about Hindquarters, so I provided information about Hindquarters. But I'll definitely send all the information about Water Street Grill to you via email. Anything else?",train
dlg-00d874b5-cdab-47bf-8b1d-172e8044f9ff,dlg-00d874b5-cdab-47bf-8b1d-172e8044f9ff_1_4,Hey. I'm looking to go to Seasons in Davis. Are they open on Sunday for dinner?,"Seasons is open on Sunday from 5 pm. to 8 pm. Yes, Seasons has reservations.",train
dlg-00d874b5-cdab-47bf-8b1d-172e8044f9ff,dlg-00d874b5-cdab-47bf-8b1d-172e8044f9ff_5_11,How about the seafood dishes? Like do they offer crustaceans?,"Can you elaborate on crustacean, please? I do not see crab but they do have shrimp. The estimated drive time is 30 minutes.",train
dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98,dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98_1_4,"Hello, I'm looking for a place to have dinner tonight.","I see that you're in Austin, Texas. Is that where you would like me to find you a restaurant? Great, I can find you a restaurant for dinner tonight, what type of cuisine do you have in mind?",train
dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98,dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98_5_6,Indian.,Indian is a great choice. Do you have other preferences for the restaurant that you want me to search for?,train
dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98,dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98_7_15,Above three-star.,"One second, the most highly rated to Indian restaurants in your area is Asiana Indian Cuisine and Tarka Indian Kitchen. Would you like to know more about these two?",train
dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98,dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98_16_21,I'd rather have pizza tonight.,"No problem, so you changed your mind and want to look for a pizza restaurant. Do you have the same or different preferences? One second, the two most highly rated pizza places in your area are Pious and Homeslice pizza. Can I tell you more about either one of these two or both?",train
dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98,dlg-00fcbcc1-cb5f-4687-a08e-ea112a09be98_22_23,Can you give me a location for Home Slice Pizza? I want to go there.,"Sure, they're located at 1415 South Congress Avenue, do you need me to send you directions.",train
dlg-0107de60-005c-4f7f-856a-f4e26166a874,dlg-0107de60-005c-4f7f-856a-f4e26166a874_1_9,"Looking for a place to eat dinner. Yeah, sure. I'm in DC, near the capital. I'm looking for something that has a happy hour.","Ambar Capitol Hill, Barrel, Union Pub, Capitol Lounge and City Tap House of DC Penn Quarter.",train
dlg-0107de60-005c-4f7f-856a-f4e26166a874,dlg-0107de60-005c-4f7f-856a-f4e26166a874_10_16,Do any of them have gluten-free options?,"It looks like Barrel would be your best option if you're looking for gluten-free options. Here's their address 613 Pennsylvania Ave SE, Washington, DC 20003. 613 Pennsylvania Ave SE, Washington, DC 20003.",train
dlg-010affa5-d956-4cbd-8960-b795ae4f14a0,dlg-010affa5-d956-4cbd-8960-b795ae4f14a0_0_3,"Hi. I'm in Nashville, Tennessee and I want to find some smoothies.","Okay, great. There are a handful of smoothie restaurants near Nashville.",train
dlg-010affa5-d956-4cbd-8960-b795ae4f14a0,dlg-010affa5-d956-4cbd-8960-b795ae4f14a0_4_13,"I want some that are kid-friendly, but also like feel cozy at the same time.","There are a handful of smoothie restaurants which are suitable to you. They are all kid-friendly. Yeah, there is cozy in one of the restaurant. It's Jamba Juice restaurant with the rating of 4.1-stars. The location of this Jamba Juice is 605 8th Ave S, Nashville, TN 37203.",train
dlg-013a64b8-39fc-4e64-9469-32726238b423,dlg-013a64b8-39fc-4e64-9469-32726238b423_2_6,"I'm planning a special dinner at the Gravenstein Grill in Sebastopol, California. When are they open for dinner on Sunday?",Sunday dinner hours are 11:00 a..m. - 9:30 a.m. The atmosphere in the restaurant is casual.,train
dlg-013a64b8-39fc-4e64-9469-32726238b423,dlg-013a64b8-39fc-4e64-9469-32726238b423_7_14,Do they serve cocktails?,"Yes, they serve cocktails. The drive is about 22 minutes.",train
dlg-014da00b-c166-48d6-bc32-a0729e1e3ca2,dlg-014da00b-c166-48d6-bc32-a0729e1e3ca2_1_12,I'm trying to find somewhere to eat tonight in California. I was thinking Asian. Could you also make sure it's a fairly casual restaurant?,"I have Sakura Bistro, Ramen Gaijin and Sukhothai. Ramen Gaijin serves organic items.",train
dlg-0169d0e2-b337-473f-954c-eb0c65ce4e36,dlg-0169d0e2-b337-473f-954c-eb0c65ce4e36_3_12,"Tracy, California. Italian. Low price limit. A three-star. Yes, specials.",How about this restaurant called Strings Italian.,train
