conversation_id,utterance_id,speaker,text,label,split
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_0,ASSISTANT,Hello! How can I help you?,3,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_1,USER,"Hi, I would like to find a hotel.",3,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_2,ASSISTANT,Okay.,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_3,ASSISTANT,What else can you tell me about the hotel?,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_4,USER,Find a hotel near the beachfront.,0,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_5,ASSISTANT,Okay beachfront in which town?,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_6,USER,Oxnard California.,0,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_7,ASSISTANT,Okay.,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_8,USER,My price range is $300 for a night.,1,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_9,ASSISTANT,Okay.,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_10,ASSISTANT,Is that all?,0,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_11,USER,No. I want a room with a balcony.,1,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_12,ASSISTANT,"Okay, what else?",2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_13,USER,"I will stay on next year June 16th to 19th, 2017.",1,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_14,ASSISTANT,Alright.,1,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_15,ASSISTANT,Let me describe a couple of options you can choose from.,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_16,ASSISTANT,"Staybridge Suites Carlsbad, it's $145 per night. It's rated 4.5 stars. Warm suites with kitchens in a relaxed property featuring an outdoor pool, a gym & a BBQ area.",2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_17,ASSISTANT,"Park Hyatt Aviara resort Golf Club and Spa, it's $279 per night. It’s rated 4.8 stars. Resort offering an 18-hole golf course, an outdoor pool & tennis courts plus a spa & fine dining.",2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_18,ASSISTANT,Those are the two options. Which one do you want?,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_19,USER,"I want the second one, it looks great for me.",2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_20,ASSISTANT,Okay.,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_21,USER,Tell me more about the second one.,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_22,ASSISTANT,What would you like to know?,3,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_23,USER,Does hotel have a fitness center?,2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_24,ASSISTANT,"Yes, it does.",2,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_25,ASSISTANT,Thank you.,3,validation
