conversation_id,utterance_id,speaker,text,label,split
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_0,ASSISTANT,"Hi, How can I help you?",3,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_1,USER,"Hi, I need help finding a sandwich shop to go eat at.",3,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_2,ASSISTANT,"Sure, Let me check that for you.",2,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_3,USER,Okay.,2,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_4,ASSISTANT,"Ok, I found five places.",2,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_5,USER,Awesome.,0,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_6,ASSISTANT,Zoccoli's Delicatessen at 1534 Pacific Avenue.,0,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_7,USER,Awesome!,3,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_8,ASSISTANT,"Next, The Sandwich Spot at 1010 Pacific Avenue.",2,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_9,USER,Okay.,2,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_10,ASSISTANT,Here’s the next one. Erik’s Deli Cafe at 155 Walnut Avenue.,0,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_11,USER,Okay.,2,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_12,ASSISTANT,Here’s the next one. Togo’s Sandwiches at 902 Ocean Street. Last one. The Picnic Basket at 125 Beach Street.,1,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_13,USER,Okay.,2,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_14,USER,Some good choices. I think I like Erik's.,2,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_15,ASSISTANT,Wonderful! Did you need help with anything else?,3,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_16,USER,Nothing else. I have some information about some of these. I'll check out Erik's. Thank you for pointing me in that direction.,3,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_17,ASSISTANT,Perfect! Have a wonderful night.,3,train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_18,USER,You have a wonderful night as well.,3,train
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_0,ASSISTANT,How can I help you?,2,test
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_1,USER,"Hi, currently I'm in IKEA, California. I'm looking for restaurant to eat dinner.",3,test
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_2,ASSISTANT,Any food preferences?,0,test
