conversation_id,utterance_id,speaker,text,label,split
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_0,ASSISTANT,Hi.,3,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_1,ASSISTANT,How can I help you?,2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_2,ASSISTANT,What would you like to order in Barbecue?,3,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_3,USER,"Yeah, I'd like to get a rack of ribs.",2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_4,USER,What kind of sides can I get with that?,2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_5,ASSISTANT,"With rack of ribs, I would suggest Barbecue sauce.",2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_6,USER,"Yeah. Of course, I want the barbecue sauce and ribs, but I'm talking about sides. You know, like slaw or macaroni and cheese. I want I'd like macaroni and cheese, if they got it.",2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_7,ASSISTANT,Would you like to add extra?,3,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_8,USER,"No, I'd like to get a salad with that. No tomatoes, with ranch dressing.",2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_9,ASSISTANT,Salad with no tomatoes and ranch dressing has been added to your order.,2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_10,ASSISTANT,Is there anything else you would like to add like fries or drinks?,2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_11,USER,"Can I get a potato, a baked potato?",2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_12,USER,"A Diet Coke or Pepsi, whichever one they have.",0,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_13,ASSISTANT,Baked potato and diet coke has been added to the order.,2,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_14,USER,That sounds great.,2,train
