conversation_id,example_id,input_text,target_text,split
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_4_12,"Davis, California. Action.","Okay, let me see what action films are currently available nearby. Baby driver. The Mummy. Guardians of the Galaxy: Vol 2.",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_13_26,The Mummy.,"Would you like to see the trailer for ""The Mummy""? Here's the trailer for ""The Mummy"". Would you like to go see ""The Mummy""? Okay. The Mummy is playing at 4:30 pm this afternoon at Regal Davis Stadium 5.",train
dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_1_3,"Hi there. I'm looking for a mystery movie to watch at home, And I'm hoping it's based on an actual event and fairly recent.",Sure let me find few for you. Lonely Hearts or Wolf Creek or Savage Grace? Lonely Hearts or Wolf Creek or Savage Grace?,train
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_6_9,"Anywhere within 4 miles from me. Between 9:00 PM and 10:30 PM, tonight.",I have Chips playing at 9:50 PM. I have Get Out playing at 10:15 PM. and Snaps playing at 10:25 PM.,test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_10_11,I'd like to choose Chips.,"You've got it, Chips is playing at Regency Cathedral City 10 located at 34491 palm Drive.",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_12_17,What are the ticket prices for one adult?,Adult movie ticket prices at that time is $3. The main actors are Dax Shepard and Michael Pena. You've got it. I'll send an email confirmation with your movie ticket information.,test
dlg-007fd36a-ad44-4454-969a-141feaaef982,dlg-007fd36a-ad44-4454-969a-141feaaef982_3_6,"Yeah. My favorite movie genre is horror. So, I was looking for some kind of horror film? I'll know. I'm just looking for a nice horror movie for tonight.",How about Babadook?,train
dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51,dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51_1_10,"Hi, I am in Tacoma, Washington near the University of Puget and I'm planning a movie night out. Comedy.",Baywatch.,train
dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51,dlg-00d44a22-cd45-40a4-99bf-c03e7ff90f51_11_13,"No, I'm looking for the least commercial movie available, the least mainstream?",How about the movie Rough Night?,train
dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a,dlg-00d6ada5-4318-47aa-b0bc-78f3ad80020a_1_6,"I wonder if you would help me find a movie to see out tonight. I am in La Jolla near UC San Diego. Yeah, definitely. So, I'm looking to see something new, like a new release as of today or yesterday, and something exciting action-adventure, fight scenes, chase, something like that.",May I suggest a sci-fi movie? War for the Planet of the Apes.,validation
