conversation_id,utterance_id,turn_id,speaker,text,segments,split
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_3,3,USER,Can you play something by Whitney Houston.,"[{""start_index"":26,""end_index"":41,""text"":""Whitney Houston"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_4,4,ASSISTANT,"Whitney Houston, let me find you something.","[{""start_index"":0,""end_index"":15,""text"":""Whitney Houston"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_5,5,ASSISTANT,How about the song called I Look to You by Whitney Houston?,"[{""start_index"":26,""end_index"":39,""text"":""I Look to You"",""annotations"":[{""name"":""music.name.album""},{""name"":""music.name.track""}]},{""start_index"":43,""end_index"":58,""text"":""Whitney Houston"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_6,6,USER,It sounds good.,"[{""start_index"":6,""end_index"":15,""text"":""nds good."",""annotations"":[{""name"":""music.describes_track""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_7,7,USER,Can you play the same song but like performed by someone else?,"[{""start_index"":17,""end_index"":61,""text"":""same song but like performed by someone else"",""annotations"":[{""name"":""music.describes_track""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_8,8,ASSISTANT,Yes. Here's the same song called I look to you Cover By Aldrich & James.,"[{""start_index"":33,""end_index"":46,""text"":""I look to you"",""annotations"":[{""name"":""music.name.track""},{""name"":""music.name.album""}]},{""start_index"":56,""end_index"":71,""text"":""Aldrich & James"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_9,9,USER,Can you find something like another kind of a cover by a kid?,"[{""start_index"":46,""end_index"":60,""text"":""cover by a kid"",""annotations"":[{""name"":""music.describes_track""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_15,15,ASSISTANT,Here's a song diamonds originally by Rihanna Cover by One Voice Children's Choir.,"[{""start_index"":14,""end_index"":22,""text"":""diamonds"",""annotations"":[{""name"":""music.name.track""},{""name"":""music.name.album""}]},{""start_index"":37,""end_index"":44,""text"":""Rihanna"",""annotations"":[{""name"":""music.name.artist""}]},{""start_index"":54,""end_index"":80,""text"":""One Voice Children's Choir"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_17,17,ASSISTANT,Written by Sia.,"[{""start_index"":11,""end_index"":14,""text"":""Sia"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_18,18,USER,Yeah. That's really cool choreography in the video.,"[{""start_index"":13,""end_index"":37,""text"":""really cool choreography"",""annotations"":[{""name"":""music.describes_track""}]}]",train
dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_1,1,USER,"Hello. Could you play something from the band Creed, please?","[{""start_index"":46,""end_index"":51,""text"":""Creed"",""annotations"":[{""name"":""music.name.artist""}]}]",validation
dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_2,2,ASSISTANT,Here is Creed - With Arms Wide Open.,"[{""start_index"":8,""end_index"":13,""text"":""Creed"",""annotations"":[{""name"":""music.name.artist""}]},{""start_index"":16,""end_index"":35,""text"":""With Arms Wide Open"",""annotations"":[{""name"":""music.name.track""}]}]",validation
dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_4,4,ASSISTANT,Here is Creed - My Sacrifice.,"[{""start_index"":8,""end_index"":13,""text"":""Creed"",""annotations"":[{""name"":""music.name.artist""}]},{""start_index"":16,""end_index"":28,""text"":""My Sacrifice"",""annotations"":[{""name"":""music.name.track""}]}]",validation
dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35,dlg-0077569e-55bf-4dde-8f6c-54b4bf0f5a35_8,8,ASSISTANT,Here is Creed - Higher.,"[{""start_index"":8,""end_index"":13,""text"":""Creed"",""annotations"":[{""name"":""music.name.artist""}]},{""start_index"":16,""end_index"":22,""text"":""Higher"",""annotations"":[{""name"":""music.name.track""}]}]",validation
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_2,2,USER,Can you play me a country song?,"[{""start_index"":18,""end_index"":25,""text"":""country"",""annotations"":[{""name"":""music.name.genre""}]}]",train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_4,4,ASSISTANT,How about Tennessee Whiskey by Chris Stapleton?,"[{""start_index"":31,""end_index"":46,""text"":""Chris Stapleton"",""annotations"":[{""name"":""music.name.artist""}]},{""start_index"":10,""end_index"":27,""text"":""Tennessee Whiskey"",""annotations"":[{""name"":""music.name.track""}]}]",train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_7,7,ASSISTANT,Here's the song called Blue Ain't Your Color by Keith Urban.,"[{""start_index"":23,""end_index"":44,""text"":""Blue Ain't Your Color"",""annotations"":[{""name"":""music.name.track""}]},{""start_index"":48,""end_index"":59,""text"":""Keith Urban"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_8,8,USER,I'm really not a fan of Keith Urban. Do you think you could find somebody else?,"[{""start_index"":24,""end_index"":35,""text"":""Keith Urban"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_9,9,ASSISTANT,How about Losing Sleep by Chris Young?,"[{""start_index"":10,""end_index"":22,""text"":""Losing Sleep"",""annotations"":[{""name"":""music.name.track""},{""name"":""music.name.album""}]},{""start_index"":26,""end_index"":37,""text"":""Chris Young"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_11,11,USER,No. Play You think you could just find a female singer?,"[{""start_index"":39,""end_index"":54,""text"":""a female singer"",""annotations"":[{""name"":""music.describes_artist""}]}]",train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_12,12,ASSISTANT,Female singer? Let me see what I can find.,"[{""start_index"":0,""end_index"":13,""text"":""Female singer"",""annotations"":[{""name"":""music.describes_artist""}]}]",train
dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313,dlg-00a94095-44d3-4d0c-9291-0dd9bb65c313_13,13,ASSISTANT,Here is the song called When You Say Nothing At All by Alison Krauss.,"[{""start_index"":24,""end_index"":51,""text"":""When You Say Nothing At All"",""annotations"":[{""name"":""music.name.track""}]},{""start_index"":55,""end_index"":68,""text"":""Alison Krauss"",""annotations"":[{""name"":""music.name.artist""}]}]",train
dlg-00bca323-87d8-4a93-970c-b6eae2f7827e,dlg-00bca323-87d8-4a93-970c-b6eae2f7827e_0,0,USER,Can you play something by August Burns Red?,"[{""start_index"":26,""end_index"":42,""text"":""August Burns Red"",""annotations"":[{""name"":""music.name.artist""}]}]",validation
