conversation_id,utterance_id,speaker,text,label,split
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_0,ASSISTANT,How can I help you?,1,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_1,USER,What movies are playing?,0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_2,ASSISTANT,I can help you with your movie search.,2,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_3,ASSISTANT,Where are you located?,1,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_4,USER,"Davis, California.",0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_5,ASSISTANT,Do you have a type of movie you wanted to go see?,1,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_6,USER,Action.,0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_7,ASSISTANT,"Okay, let me see what action films are currently available nearby.",2,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_8,ASSISTANT,Just one moment.,0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_9,ASSISTANT,Here is what I found.,1,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_10,ASSISTANT,Baby driver.,0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_11,ASSISTANT,The Mummy.,0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_12,ASSISTANT,Guardians of the Galaxy: Vol 2.,0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_13,USER,The Mummy.,0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_14,ASSISTANT,"Would you like to see the trailer for ""The Mummy""?",3,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_15,USER,Yes.,2,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_16,ASSISTANT,Okay.,2,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_17,ASSISTANT,"Here's the trailer for ""The Mummy"".",2,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_18,ASSISTANT,Is that playing for you?,0,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_19,USER,Yes.,2,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_20,ASSISTANT,"Okay, great.",2,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_21,ASSISTANT,Is there anything else I can help you with?,2,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_22,USER,No.,1,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_23,USER,Thank you.,3,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_24,ASSISTANT,"Would you like to go see ""The Mummy""?",3,train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_25,USER,"Yes, yes.",2,train
