conversation_id,example_id,source_id,input_text,target_text,split
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_4_12__g1,dlg-0018b735-34fe-4c43-b744-e955b6836c43_4_12,"Okay, let me see what action films are currently available nearby. Baby driver. The Mummy. Guardians of the Galaxy: Vol 2.","Let me check which action movies are playing near you right now. I see Baby Driver, The Mummy, and Guardians of the Galaxy: Vol 2.",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_4_12__g2,dlg-0018b735-34fe-4c43-b744-e955b6836c43_4_12,"Okay, let me see what action films are currently available nearby. Baby driver. The Mummy. Guardians of the Galaxy: Vol 2.","I'll look for action films currently available in your area. The options are Baby Driver, The Mummy, and Guardians of the Galaxy: Vol 2.",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_13_26__g1,dlg-0018b735-34fe-4c43-b744-e955b6836c43_13_26,"Would you like to see the trailer for ""The Mummy""? Here's the trailer for ""The Mummy"". Would you like to go see ""The Mummy""? Okay. The Mummy is playing at 4:30 pm this afternoon at Regal Davis Stadium 5.","Would you like to watch the trailer for ""The Mummy""? Here is the trailer for ""The Mummy"". Do you want to go see ""The Mummy""? Okay. ""The Mummy"" is showing at 4:30 pm this afternoon at Regal Davis Stadium 5.",train
dlg-0018b735-34fe-4c43-b744-e955b6836c43,dlg-0018b735-34fe-4c43-b744-e955b6836c43_13_26__g2,dlg-0018b735-34fe-4c43-b744-e955b6836c43_13_26,"Would you like to see the trailer for ""The Mummy""? Here's the trailer for ""The Mummy"". Would you like to go see ""The Mummy""? Okay. The Mummy is playing at 4:30 pm this afternoon at Regal Davis Stadium 5.","Shall I show you the trailer for ""The Mummy""? Here is the trailer for ""The Mummy"". Would you like to go see ""The Mummy""? All right. ""The Mummy"" is playing at 4:30 pm this afternoon at Regal Davis Stadium 5.",train
dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_1_3__g1,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_1_3,Sure let me find few for you. Lonely Hearts or Wolf Creek or Savage Grace? Lonely Hearts or Wolf Creek or Savage Grace?,"Certainly, let me look up some options for you. Would you like to see Lonely Hearts, Wolf Creek, or Savage Grace? Lonely Hearts, Wolf Creek, or Savage Grace?",train
dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_1_3__g2,dlg-001f0a2e-e1ea-4eef-ab04-bc42bce02fbd_1_3,Sure let me find few for you. Lonely Hearts or Wolf Creek or Savage Grace? Lonely Hearts or Wolf Creek or Savage Grace?,"Of course, I can find a few for you. How about Lonely Hearts, Wolf Creek, or Savage Grace? Lonely Hearts, Wolf Creek, or Savage Grace?",train
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_6_9__g1,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_6_9,I have Chips playing at 9:50 PM. I have Get Out playing at 10:15 PM. and Snaps playing at 10:25 PM.,"I have Chips scheduled for 9:50 PM, Get Out at 10:15 PM, and Snaps at 10:25 PM.",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_6_9__g2,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_6_9,I have Chips playing at 9:50 PM. I have Get Out playing at 10:15 PM. and Snaps playing at 10:25 PM.,"My records show Chips playing at 9:50 PM, Get Out at 10:15 PM, and Snaps at 10:25 PM.",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_10_11__g1,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_10_11,"You've got it, Chips is playing at Regency Cathedral City 10 located at 34491 palm Drive.","Certainly, Chips is showing at the Regency Cathedral City 10, which is located at 34491 palm Drive.",test
dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_10_11__g2,dlg-0051fb8b-0e94-4bc7-812c-ea28d608d03d_10_11,"You've got it, Chips is playing at Regency Cathedral City 10 located at 34491 palm Drive.","You're correct, Chips is playing at Regency Cathedral City 10 at 34491 palm Drive.",test
