conversation_id,utterance_id,speaker,text,label,split
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_0,USER,Hi. My favorite baseball team is St. Louis Cardinals and I want to ask how they're doing currently.,3,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_1,ASSISTANT,Sure.,2,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_2,USER,Who are they playing today?,2,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_3,ASSISTANT,Hold on for a moment.,0,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_4,ASSISTANT,It's in the 3rd place in National League Central.,0,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_5,ASSISTANT,There is no game today.,1,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_6,USER,Did they played last Saturday?,0,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_7,ASSISTANT,"Yes, they played against Diamondbacks.",2,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_8,USER,What was the score in their last game?,0,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_9,ASSISTANT,It's 2-3 and they won.,2,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_10,USER,Okay. And then who's the manager?,2,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_11,ASSISTANT,Mike Matheny is the manager.,0,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_12,USER,"Okay, that's all I wanted to know.",2,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_13,ASSISTANT,Do you need anything else?,2,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_14,USER,That's it.,0,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_15,ASSISTANT,"Okay, bye.",2,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_16,USER,Bye.,2,train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_0,USER,What place are the LA Dodgers in?,0,train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_1,ASSISTANT,The LA Dodgers are currently in first place in the National League West with 92 wins and 52 losses.,1,train
