conversation_id,example_id,source_id,input_text,target_text,split
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_4_5__g1,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_4_5,Okay beachfront in which town?,"Alright, in which town is the beachfront located?",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_4_5__g2,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_4_5,Okay beachfront in which town?,"Okay, which town is the beachfront in?",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_6_17__g1,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_6_17,"Staybridge Suites Carlsbad, it's $145 per night. It's rated 4.5 stars. Warm suites with kitchens in a relaxed property featuring an outdoor pool, a gym & a BBQ area. Park Hyatt Aviara resort Golf Club and Spa, it's $279 per night. It’s rated 4.8 stars. Resort offering an 18-hole golf course, an outdoor pool & tennis courts plus a spa & fine dining.","You can choose Staybridge Suites Carlsbad for $145 per night, which has a 4.5-star rating; it offers warm suites with kitchens in a relaxed setting that includes an outdoor pool, a gym, and a BBQ area. Alternatively, there is the Park Hyatt Aviara resort Golf Club and Spa at $279 per night with a 4.8-star rating, featuring an 18-hole golf course, an outdoor pool, tennis courts, a spa, and fine dining.",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_6_17__g2,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_6_17,"Staybridge Suites Carlsbad, it's $145 per night. It's rated 4.5 stars. Warm suites with kitchens in a relaxed property featuring an outdoor pool, a gym & a BBQ area. Park Hyatt Aviara resort Golf Club and Spa, it's $279 per night. It’s rated 4.8 stars. Resort offering an 18-hole golf course, an outdoor pool & tennis courts plus a spa & fine dining.","The Staybridge Suites Carlsbad is available for $145 per night and holds a 4.5-star rating, providing warm suites with kitchens in a relaxed property with a gym, BBQ area, and outdoor pool. Another option is the Park Hyatt Aviara resort Golf Club and Spa for $279 per night with a 4.8-star rating, which is a resort offering fine dining, a spa, tennis courts, an outdoor pool, and an 18-hole golf course.",validation
dlg-00131332-f7b3-4227-9672-652dd3a2c39e,dlg-00131332-f7b3-4227-9672-652dd3a2c39e_3_9__g1,dlg-00131332-f7b3-4227-9672-652dd3a2c39e_3_9,let me check on that for you. One second. Here is the Hotel which you are looking for. There is a sports bar at the hotel.,Please give me a moment to check that for you. Here is the hotel you're interested in; it features a sports bar.,train
dlg-00131332-f7b3-4227-9672-652dd3a2c39e,dlg-00131332-f7b3-4227-9672-652dd3a2c39e_3_9__g2,dlg-00131332-f7b3-4227-9672-652dd3a2c39e_3_9,let me check on that for you. One second. Here is the Hotel which you are looking for. There is a sports bar at the hotel.,"Let me look into that for you. Just one second. I have found the hotel you are looking for, and it does have a sports bar on-site.",train
dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_3_8__g1,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_3_8,"Yes, the hotel is near downtown.","That is correct, the hotel is located near downtown.",train
dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_3_8__g2,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_3_8,"Yes, the hotel is near downtown.","Yes, the hotel is situated close to the downtown area.",train
dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_13_14__g1,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_13_14,"Yes, the hotel has a hot tub and a fitness center.",The hotel features both a fitness center and a hot tub.,train
dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_13_14__g2,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_13_14,"Yes, the hotel has a hot tub and a fitness center.","Yes, there is a fitness center and a hot tub available at the hotel.",train
