conversation_id,utterance_id,turn_id,speaker,text,segments,split
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_4,4,USER,Find a hotel near the beachfront.,"[{""start_index"":13,""end_index"":32,""text"":""near the beachfront"",""annotations"":[{""name"":""hotel_search.sub_location.hotel""}]}]",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_5,5,ASSISTANT,Okay beachfront in which town?,"[{""start_index"":5,""end_index"":15,""text"":""beachfront"",""annotations"":[{""name"":""hotel_search.sub_location.hotel""}]}]",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_6,6,USER,Oxnard California.,"[{""start_index"":0,""end_index"":17,""text"":""Oxnard California"",""annotations"":[{""name"":""hotel_search.location.hotel""}]}]",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_8,8,USER,My price range is $300 for a night.,"[{""start_index"":18,""end_index"":34,""text"":""$300 for a night"",""annotations"":[{""name"":""hotel_search.price_range""}]}]",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_11,11,USER,No. I want a room with a balcony.,"[{""start_index"":23,""end_index"":32,""text"":""a balcony"",""annotations"":[{""name"":""hotel_search.amenity""}]}]",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_13,13,USER,"I will stay on next year June 16th to 19th, 2017.","[{""start_index"":15,""end_index"":48,""text"":""next year June 16th to 19th, 2017"",""annotations"":[{""name"":""hotel_search.date_range""}]}]",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_16,16,ASSISTANT,"Staybridge Suites Carlsbad, it's $145 per night. It's rated 4.5 stars. Warm suites with kitchens in a relaxed property featuring an outdoor pool, a gym & a BBQ area.","[{""start_index"":0,""end_index"":26,""text"":""Staybridge Suites Carlsbad"",""annotations"":[{""name"":""hotel1_detail.name.hotel""}]},{""start_index"":33,""end_index"":47,""text"":""$145 per night"",""annotations"":[{""name"":""hotel1_detail.price_per_night""}]},{""start_index"":60,""end_index"":69,""text"":""4.5 stars"",""annotations"":[{""name"":""hotel1_detail.customer_rating""}]},{""start_index"":71,""end_index"":164,""text"":""Warm suites with kitchens in a relaxed property featuring an outdoor pool, a gym & a BBQ area"",""annotations"":[{""name"":""hotel1_detail.other_detail""}]},{""start_index"":129,""end_index"":144,""text"":""an outdoor pool"",""annotations"":[{""name"":""hotel1_detail.amenity""}]},{""start_index"":146,""end_index"":151,""text"":""a gym"",""annotations"":[{""name"":""hotel1_detail.amenity""}]},{""start_index"":154,""end_index"":164,""text"":""a BBQ area"",""annotations"":[{""name"":""hotel1_detail.amenity""}]}]",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_17,17,ASSISTANT,"Park Hyatt Aviara resort Golf Club and Spa, it's $279 per night. It’s rated 4.8 stars. Resort offering an 18-hole golf course, an outdoor pool & tennis courts plus a spa & fine dining.","[{""start_index"":0,""end_index"":42,""text"":""Park Hyatt Aviara resort Golf Club and Spa"",""annotations"":[{""name"":""hotel2_detail.name.hotel""}]},{""start_index"":49,""end_index"":63,""text"":""$279 per night"",""annotations"":[{""name"":""hotel2_detail.price_per_night""}]},{""start_index"":76,""end_index"":85,""text"":""4.8 stars"",""annotations"":[{""name"":""hotel2_detail.customer_rating""}]},{""start_index"":87,""end_index"":183,""text"":""Resort offering an 18-hole golf course, an outdoor pool & tennis courts plus a spa & fine dining"",""annotations"":[{""name"":""hotel2_detail.other_detail""}]},{""start_index"":103,""end_index"":125,""text"":""an 18-hole golf course"",""annotations"":[{""name"":""hotel2_detail.amenity""}]},{""start_index"":127,""end_index"":142,""text"":""an outdoor pool"",""annotations"":[{""name"":""hotel2_detail.amenity""}]},{""start_index"":145,""end_index"":158,""text"":""tennis courts"",""annotations"":[{""name"":""hotel2_detail.amenity""}]},{""start_index"":164,""end_index"":169,""text"":""a spa"",""annotations"":[{""name"":""hotel2_detail.amenity""}]},{""start_index"":172,""end_index"":183,""text"":""fine dining"",""annotations"":[{""name"":""hotel2_detail.amenity""}]}]",validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_23,23,USER,Does hotel have a fitness center?,"[{""start_index"":16,""end_index"":32,""text"":""a fitness center"",""annotations"":[{""name"":""hotel_search.amenity""}]}]",validation
dlg-00131332-f7b3-4227-9672-652dd3a2c39e,dlg-00131332-f7b3-4227-9672-652dd3a2c39e_3,3,USER,"Park City Peaks Hotel in Park City, Utah. I'd like to stay there from December 20th to December 27th, 2016.","[{""start_index"":0,""end_index"":21,""text"":""Park City Peaks Hotel"",""annotations"":[{""name"":""hotel_search.name.hotel""}]},{""start_index"":25,""end_index"":40,""text"":""Park City, Utah"",""annotations"":[{""name"":""hotel_search.location.hotel""}]},{""start_index"":65,""end_index"":106,""text"":""from December 20th to December 27th, 2016"",""annotations"":[{""name"":""hotel_search.date_range""}]}]",train
