conversation_id,example_id,source_id,input_text,target_text,split
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_0_5__g1,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_0_5,It's in the 3rd place in National League Central. There is no game today.,"They are currently in 3rd place in the National League Central, and there is no game scheduled for today.",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_0_5__g2,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_0_5,It's in the 3rd place in National League Central. There is no game today.,"They hold the 3rd place position in National League Central, but there are no games today.",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_6_11__g1,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_6_11,"Yes, they played against Diamondbacks. It's 2-3 and they won. Mike Matheny is the manager.","Yes, they played against the Diamondbacks. The score was 2-3 and they won, with Mike Matheny serving as the manager.",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_6_11__g2,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_6_11,"Yes, they played against Diamondbacks. It's 2-3 and they won. Mike Matheny is the manager.","That's correct, they faced the Diamondbacks. They won with a score of 2-3, and Mike Matheny is the manager.",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_0_1__g1,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_0_1,The LA Dodgers are currently in first place in the National League West with 92 wins and 52 losses.,"With a record of 92 wins and 52 losses, the LA Dodgers currently hold first place in the National League West.",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_0_1__g2,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_0_1,The LA Dodgers are currently in first place in the National League West with 92 wins and 52 losses.,"The LA Dodgers are in first place in the National League West, having recorded 92 wins and 52 losses.",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_2_5__g1,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_2_5,"Next Saturday they will be playing Washington Nationals at 10:05 a.m. In the last game the Dodgers actually lost, unfortunately Tehran has a 10 game losing streak.","They are scheduled to play the Washington Nationals next Saturday at 10:05 a.m. Unfortunately, the Dodgers lost their last game, and Tehran is currently on a 10-game losing streak.",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_2_5__g2,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_2_5,"Next Saturday they will be playing Washington Nationals at 10:05 a.m. In the last game the Dodgers actually lost, unfortunately Tehran has a 10 game losing streak.","The game against the Washington Nationals is next Saturday at 10:05 a.m. Sadly, the Dodgers lost the previous game, and Tehran has now reached a 10-game losing streak.",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_6_7__g1,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_6_7,Right now in last place in the American League East is Toronto Blue Jays.,The Toronto Blue Jays are currently in last place in the American League East.,train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_6_7__g2,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_6_7,Right now in last place in the American League East is Toronto Blue Jays.,"Currently, the Toronto Blue Jays hold the last place position in the American League East.",train
dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_0_7__g1,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_0_7,"West Ham United is currently in 18th Place with a total of 13 points. West Ham's last game was against Chelsea, they won that game with a score of 1-0. They won the game 1-0.","West Ham United is currently in 18th Place with a total of 13 points. Their last match was against Chelsea, which they won with a score of 1-0. They won that game 1-0.",test
dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_0_7__g2,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_0_7,"West Ham United is currently in 18th Place with a total of 13 points. West Ham's last game was against Chelsea, they won that game with a score of 1-0. They won the game 1-0.","Currently, West Ham United holds 18th Place with a total of 13 points. In their most recent game against Chelsea, they secured a 1-0 victory. They won the game 1-0.",test
dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_8_9__g1,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_8_9,Joe Hart is the starting goalkeeper for West Ham United.,West Ham United's starting goalkeeper is Joe Hart.,test
dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_8_9__g2,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_8_9,Joe Hart is the starting goalkeeper for West Ham United.,Joe Hart serves as the starting goalkeeper for West Ham United.,test
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_1_2__g1,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_1_2,"Chicago Fire is in third place in the Eastern Conference with 13 wins, 9 losses and 6 draws.","The Chicago Fire currently holds third place in the Eastern Conference, having recorded 13 wins, 9 losses, and 6 draws.",train
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_1_2__g2,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_1_2,"Chicago Fire is in third place in the Eastern Conference with 13 wins, 9 losses and 6 draws.","With a record of 13 wins, 9 losses, and 6 draws, the Chicago Fire is ranked third in the Eastern Conference.",train
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_3_4__g1,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_3_4,"No, they'll play tomorrow against DC United at 5:30 PM.","Actually, their match against DC United is scheduled for tomorrow at 5:30 PM.",train
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_3_4__g2,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_3_4,"No, they'll play tomorrow against DC United at 5:30 PM.","No, they are playing DC United tomorrow at 5:30 PM.",train
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_5_6__g1,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_5_6,"On last Saturday, September 9th, they played against New York Red Bulls and it was a draw with the score 1-1.","They played against the New York Red Bulls last Saturday, September 9th, and the match ended in a 1-1 draw.",train
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_5_6__g2,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_5_6,"On last Saturday, September 9th, they played against New York Red Bulls and it was a draw with the score 1-1.","The game against the New York Red Bulls on Saturday, September 9th, resulted in a 1-1 draw.",train
