conversation_id,utterance_id,turn_id,speaker,text,segments,split
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_0,0,USER,Hello. I'd like to find a round trip commercial airline flight from San Francisco to Denver.,"[{""start_index"":26,""end_index"":36,""text"":""round trip"",""annotations"":[{""name"":""flight_search.type""}]},{""start_index"":68,""end_index"":81,""text"":""San Francisco"",""annotations"":[{""name"":""flight_search.origin""}]},{""start_index"":85,""end_index"":91,""text"":""Denver"",""annotations"":[{""name"":""flight_search.destination1""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_2,2,ASSISTANT,"San Francisco to Denver, got it.","[{""start_index"":0,""end_index"":13,""text"":""San Francisco"",""annotations"":[{""name"":""flight_search.origin""}]},{""start_index"":17,""end_index"":23,""text"":""Denver"",""annotations"":[{""name"":""flight_search.destination1""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_6,6,USER,"I'm looking to fly out sometime today, the earliest time today, and I'll be returning in 4 days.","[{""start_index"":57,""end_index"":62,""text"":""today"",""annotations"":[{""name"":""flight_search.date.depart_origin""}]},{""start_index"":89,""end_index"":95,""text"":""4 days"",""annotations"":[{""name"":""flight_search.date.return""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_7,7,USER,"So, I would like to fly out sometime tonight and fly back in the evening in 4 days. From I'm looking to go to Denver. I'm flying out of San Francisco.","[{""start_index"":58,""end_index"":72,""text"":""in the evening"",""annotations"":[{""name"":""flight_search.time_of_day""}]},{""start_index"":76,""end_index"":82,""text"":""4 days"",""annotations"":[{""name"":""flight_search.date.return""}]},{""start_index"":110,""end_index"":116,""text"":""Denver"",""annotations"":[{""name"":""flight_search.destination1""}]},{""start_index"":136,""end_index"":149,""text"":""San Francisco"",""annotations"":[{""name"":""flight_search.origin""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_9,9,ASSISTANT,That's right okay we have prices starting at $337.,"[{""start_index"":45,""end_index"":49,""text"":""$337"",""annotations"":[{""name"":""flight_search.price_range""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_10,10,USER,That sounds very good. I just have two preferences. I want a nonstop flight.,"[{""start_index"":61,""end_index"":68,""text"":""nonstop"",""annotations"":[{""name"":""flight_search.stops""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_11,11,USER,And I'd like to get an aisle seat.,"[{""start_index"":23,""end_index"":33,""text"":""aisle seat"",""annotations"":[{""name"":""flight_search.seat_location""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_12,12,ASSISTANT,"Okay, Non-Stop and if I heard you correctly did you say you wanted to leave as early as possible and also Nile C.","[{""start_index"":6,""end_index"":14,""text"":""Non-Stop"",""annotations"":[{""name"":""flight_search.stops""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_14,14,ASSISTANT,"Okay, you got it so it looks like United Airlines leaves at 9:20 p.m. that is nonstop the flight duration is 2 hours and 28 minutes and is priced at $337.","[{""start_index"":34,""end_index"":40,""text"":""United"",""annotations"":[{""name"":""flight1_detail.airline""}]},{""start_index"":60,""end_index"":69,""text"":""9:20 p.m."",""annotations"":[{""name"":""flight1_detail.from.time""}]},{""start_index"":78,""end_index"":85,""text"":""nonstop"",""annotations"":[{""name"":""flight1_detail.stops""}]},{""start_index"":97,""end_index"":131,""text"":""duration is 2 hours and 28 minutes"",""annotations"":[{""name"":""flight1_detail.other_description""}]},{""start_index"":149,""end_index"":153,""text"":""$337"",""annotations"":[{""name"":""flight1_detail.fare""}]}]",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_17,17,USER,And what time will I be I would like an evening flight on the return flight in 4 days.,"[{""start_index"":40,""end_index"":47,""text"":""evening"",""annotations"":[{""name"":""flight_search.time_of_day""}]},{""start_index"":79,""end_index"":85,""text"":""4 days"",""annotations"":[{""name"":""flight_search.date.return""}]}]",validation
