conversation_id,utterance_id,speaker,text,label,split
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_0,ASSISTANT,Hello user. How can I help you?,3,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_1,USER,Can you play music for me?,3,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_2,ASSISTANT,Can you please name the artist?,3,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_3,USER,Can you play something by Whitney Houston.,3,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_4,ASSISTANT,"Whitney Houston, let me find you something.",2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_5,ASSISTANT,How about the song called I Look to You by Whitney Houston?,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_6,USER,It sounds good.,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_7,USER,Can you play the same song but like performed by someone else?,3,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_8,ASSISTANT,Yes. Here's the same song called I look to you Cover By Aldrich & James.,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_9,USER,Can you find something like another kind of a cover by a kid?,3,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_10,ASSISTANT,Of the same song?,0,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_11,USER,No.,1,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_12,USER,Just someone kind of like them.,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_13,ASSISTANT,Let me try to find something.,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_14,USER,Could you find anything?,3,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_15,ASSISTANT,Here's a song diamonds originally by Rihanna Cover by One Voice Children's Choir.,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_16,USER,That's perfect.,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_17,ASSISTANT,Written by Sia.,0,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_18,USER,Yeah. That's really cool choreography in the video.,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_19,USER,"All right, I'm finished. Thank you so much.",3,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_20,ASSISTANT,You're welcome.,2,train
dlg-007002e0-3285-4dd5-8f8c-c51084332ae8,dlg-007002e0-3285-4dd5-8f8c-c51084332ae8_21,ASSISTANT,Goodbye.,2,train
