conversation_id,example_id,input_text,target_text,split
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_4_5,Find a hotel near the beachfront.,Okay beachfront in which town?,validation
dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42,dlg-0010a9d6-91c2-4b9b-ad73-33b44a8b5d42_6_17,"Oxnard California. My price range is $300 for a night. No. I want a room with a balcony. I will stay on next year June 16th to 19th, 2017.","Staybridge Suites Carlsbad, it's $145 per night. It's rated 4.5 stars. Warm suites with kitchens in a relaxed property featuring an outdoor pool, a gym & a BBQ area. Park Hyatt Aviara resort Golf Club and Spa, it's $279 per night. It’s rated 4.8 stars. Resort offering an 18-hole golf course, an outdoor pool & tennis courts plus a spa & fine dining.",validation
dlg-00131332-f7b3-4227-9672-652dd3a2c39e,dlg-00131332-f7b3-4227-9672-652dd3a2c39e_3_9,"Park City Peaks Hotel in Park City, Utah. I'd like to stay there from December 20th to December 27th, 2016. I'd like to know if that is near ski slopes. Is there a full bar? Is it kid friendly? And is it formal or casual?",let me check on that for you. One second. Here is the Hotel which you are looking for. There is a sports bar at the hotel.,train
dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_3_8,Squaw Valley California. And my date of Janine will be between 22-24 December. I would like to know that the hotel near to downtown or not?,"Yes, the hotel is near downtown.",train
dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_13_14,And does the hotel have pool with hot tub and fitness center?,"Yes, the hotel has a hot tub and a fitness center.",train
dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_15_16,Does the room have balcony or a terrace?,"Yes, the rooms have a balcony.",train
dlg-00258574-83c8-4bb0-a0f0-4f744715cb27,dlg-00258574-83c8-4bb0-a0f0-4f744715cb27_17_24,Does it have mini fridge or coffee maker?,"Yes, they have mini fridges. For your dates it'll be around $349 per night. Are you excited to go to Squaw Valley? Why are you not going to Squaw Valley then?",train
dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57,dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57_1_6,"Hi, I'd like to find a hotel in Laguna Beach, California. June 7th to the 13th. June 7th to the 13th.","Okay, June 7th to the 13th.",test
dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57,dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57_7_14,I need it to have at least three stars. $200 a night. I just need it to have two double beds. I need to have parking. And I want it to be near the beach. Which one has the best customer reviews?,The best hotel with the best customer reviews would be at the Laguna Beach Inn.,test
dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57,dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57_15_16,How far away is it from the beach?,The beach is three minutes from the hotel.,test
dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57,dlg-0032fc41-9845-4be6-b9f5-0e6d898fda57_17_21,Does it have any restaurant or bars nearby?,"Let me check that for you. Hold on a second. This hotel is within 10 minutes of downtown. So, there are plenty of restaurants nearby. Sure thing, here is their address: 2020 s Coast Hwy, Laguna Beach, CA 92651.",test
dlg-003fa5f0-3457-464b-b22b-e74194fe172a,dlg-003fa5f0-3457-464b-b22b-e74194fe172a_1_18,I'd like help in finding a hotel in San Francisco. March 7th to the 10th. One. Three stars or better. And less than $200 a night. Closest to the baseball stadium.,Courtyard by Marriott San Francisco Downtown and the cost is $179.,validation
dlg-003fa5f0-3457-464b-b22b-e74194fe172a,dlg-003fa5f0-3457-464b-b22b-e74194fe172a_19_23,Do they offer free breakfast?,"Modern hotel with an indoor pool, a restaurant & a coffee shop, plus free WiFi. Contemporary rooms offer free WiFi and flat-screen TVs, plus desks, mini fridges and coffeemakers. Suites and upgraded rooms add pull-out sofas, and some feature whirlpool tubs. Social spaces include a living room-style lobby with fire pits, plus an outdoor courtyard. The American restaurant serves breakfast, a grill restaurant serves dinner, and there's an on-site Starbucks. Other amenities include an indoor pool and an exercise room, plus a business center and 20 meeting rooms.",validation
dlg-003fa5f0-3457-464b-b22b-e74194fe172a,dlg-003fa5f0-3457-464b-b22b-e74194fe172a_24_30,How much is a room with two beds?,179$. We have Hotel Triton for $139. 3.9.,validation
dlg-003fa5f0-3457-464b-b22b-e74194fe172a,dlg-003fa5f0-3457-464b-b22b-e74194fe172a_31_34,How far away is that hotel from the baseball park?,It's just a 15 min from there. Driving 1.7 miles in distance.,validation
dlg-003fa5f0-3457-464b-b22b-e74194fe172a,dlg-003fa5f0-3457-464b-b22b-e74194fe172a_39_40,March 7th to 10th.,"Yes, it is confirmed from march 7th to 10th.",validation
dlg-0051755b-26c0-43ca-97c8-ba3200da927b,dlg-0051755b-26c0-43ca-97c8-ba3200da927b_1_20,"I'd like help finding a hotel in San Francisco, California. There will be one person. I want to check in on April 4th and check out on April 7th. I don't want it to be over $350 a night. I also want to make sure it's at least four stars. I want to make sure that it has good customer reviews. And I'd like it to be near downtown.","I have found the Park 55 San Francisco Hilton. It is a class and 4 star rated hotel. Do you want to know more? This contemporary, high-rise hotel is a 2-minute walk from West field San Francisco Center mall and 9 minutes walk from Yerba Buena Center for the Arts. Sophisticated rooms and suites feature bay windows with San Francisco views. All come with 37-inch flat-screen TVs, sofas and minibars, plus coffeemakers and desks with ergonomic chairs. WiFi and 24-hour room service are available for a fee. Dining options include a chic American restaurant/bar, a hip Thai restaurant and a coffee shop. There’s a gym, plus a business center with free WiFi. It goes for $359 a night. How does this sound?",train
dlg-007575c1-956d-4d70-bb73-fd6741982c4c,dlg-007575c1-956d-4d70-bb73-fd6741982c4c_1_13,"I'd like help finding a new hotel in San Francisco. Yeah, I'm looking for a suite under $400 a night. May 24th and 25th. Yeah, I need a king bed and I want it to have high ratings.","InterContinental San Francisco. Plush, contemporary rooms feature luxe bathrooms, flat-screen TVs and WiFi access (free) as well as iPod docks and mini fridges. Upgraded rooms add access to a club lounge and free WiFi while suites offer living rooms, terraces and panoramic city views.",train
