conversation_id,example_id,input_text,target_text,split
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_3_5,"Yeah, I'd like to get a rack of ribs.","With rack of ribs, I would suggest Barbecue sauce.",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_6_10,"Yeah. Of course, I want the barbecue sauce and ribs, but I'm talking about sides. You know, like slaw or macaroni and cheese. I want I'd like macaroni and cheese, if they got it. No, I'd like to get a salad with that. No tomatoes, with ranch dressing.",Salad with no tomatoes and ranch dressing has been added to your order. Is there anything else you would like to add like fries or drinks?,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_11_17,"Can I get a potato, a baked potato? A Diet Coke or Pepsi, whichever one they have.","Baked potato and diet coke has been added to the order. Okay, I have your personal details on file, your order will be ready in 20 minutes.",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_3_5,"Oh, that's right. Can I order takeout for two people, please, for Italian? Can I order takeout for two people, please, for Italian?","Sure, What would you like to order in Italian food.",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_6_9,"Can I get chicken fettuccine alfredo and Spaghetti and meatballs, please.",Just to confirm you would like to order chicken fettuccine alfredo and spaghetti with meatballs. Would you like to add something as sides like garlic bread.,train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_10_12,"Yes. Can I get a garlic bread too, please? And. Couple packets of Parmesan cheese, please. Couple packets of Parmesan cheese, please.",Just to confirm you would like to add garlic bread and packets of Parmesan cheese.,train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_15_18,Can I get a 2-L bottle of orange soda?,"Yes, two-liter bottle of orange soda added to your order. Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-0132dd67-ad75-4d59-83de-5cdadf9cd830,dlg-0132dd67-ad75-4d59-83de-5cdadf9cd830_1_2,Hi. I'd like to order a sandwich takeout order for one.,Okay and how would you like a sandwich?,test
dlg-0132dd67-ad75-4d59-83de-5cdadf9cd830,dlg-0132dd67-ad75-4d59-83de-5cdadf9cd830_3_8,I'd like one BLT on rye bread with a lemonade and a side of potato chips. Yes. I'd like one BLT on rye bread with a lemonade and a side of potato chips.,"One BLT on rye bread with a lemonade and a side of potato chips. Is that correct? Okay, I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",test
dlg-01765acc-b2cf-46b9-8961-7f259645b414,dlg-01765acc-b2cf-46b9-8961-7f259645b414_1_2,"Hi, I'm in this really like super three-way relationship, and we are looking to buy some sandwiches. Can you help me with that?","Yes, I can. What kind of sandwiches would you like to order?",train
dlg-01765acc-b2cf-46b9-8961-7f259645b414,dlg-01765acc-b2cf-46b9-8961-7f259645b414_3_5,"I would like one BLT, one chip butty, and two Reubens.","Just to confirm, you would like to order one BLT, one chip buddy, 2 Ruben's.",train
dlg-01765acc-b2cf-46b9-8961-7f259645b414,dlg-01765acc-b2cf-46b9-8961-7f259645b414_7_16,"Hey, Can I get extra mayo with all of that?",As requested your sandwiches will be prepared with extra mayo. Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-01839744-e367-4b7d-b8c4-42a40974c310,dlg-01839744-e367-4b7d-b8c4-42a40974c310_1_4,"Yes, I'd like to order hot dogs for three people, please.",Just to confirm you would like to order hot dogs for three people. What kind of hot dogs would you like to order?,train
dlg-01839744-e367-4b7d-b8c4-42a40974c310,dlg-01839744-e367-4b7d-b8c4-42a40974c310_5_10,"Three hot dogs, everything on it, please. And three large order of fries and three Cherry Cokes, please. And that'll be it.","Just to confirm you would like to order three hot dogs with everything on it, three large fries and three Cherry Cokes. ""Okay, I have your personal details on file. Your order will be ready for pick-up in 20 minutes"".",train
dlg-025a1022-3f81-4266-b4a9-da0b7deb3d24,dlg-025a1022-3f81-4266-b4a9-da0b7deb3d24_3_10,That's correct but I'd like to add two iced teas if you don't mind.,Two iced teas sure. I've added that to the order. Okay. Let me confirm what you have: 1 market burrito with black beans and spicy salsa and 1 chicken taco platter with refried beans and 2 ice teas. Okay. Your order will be ready for pick-up in about 20 minutes.,train
dlg-02a11af8-646b-4376-b86f-a25ac8fbb6eb,dlg-02a11af8-646b-4376-b86f-a25ac8fbb6eb_3_7,"For three people. I'd like to order six hot dogs for take out. I would like them to have ketchup, mustard, onions, and relish on them.",I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-02e2f90f-746c-414f-99fd-cc5178ae60a6,dlg-02e2f90f-746c-414f-99fd-cc5178ae60a6_0_5,Hi. I'd like to order a hot dog.,"Okay, and how would you like the hot dog ordered? One hot dog with everything on it, pickled and jalapenos on the side, with a large fries and coke. Does that complete your order? OK. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",test
dlg-03084b5a-1cf3-40d2-a2f6-4d3d1488532f,dlg-03084b5a-1cf3-40d2-a2f6-4d3d1488532f_2_10,"Hi. Today I need to find a restaurant for take-out for one person, and I'm looking for burritos to eat. I'm looking to order two beef burritos, and a large Hi-C.",2 beef burritos and a large Hi-C. Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-0354e60a-4747-408a-9d1b-6c981d4d579f,dlg-0354e60a-4747-408a-9d1b-6c981d4d579f_2_5,"Hi, I would like to place an order of Mexican food for one person. Get me the chicken beef quesadilla and a soft shell beef taco without lettuce.","One order of chicken beef quesadilla, one soft shell beef taco without lettuce. Anything else?",train
dlg-0354e60a-4747-408a-9d1b-6c981d4d579f,dlg-0354e60a-4747-408a-9d1b-6c981d4d579f_6_9,I wanted to add a sweet ice tea and also get me some nacho chips and cinnamon curly cues.,"One order of chicken beef quesadilla, one soft shell beef taco without lettuce, nachos and cinnamon cues and a sweet tea. Does that complete your order? Okay, I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-0419f6a2-94d8-43d0-8182-4ea7802de061,dlg-0419f6a2-94d8-43d0-8182-4ea7802de061_1_2,I'd like to take out some food.,What would you like to order in Chinese food?,train
dlg-0419f6a2-94d8-43d0-8182-4ea7802de061,dlg-0419f6a2-94d8-43d0-8182-4ea7802de061_3_9,"I like some sweet and sour chicken with noodles and saké. Just a sweet, Sour chicken and the noodles, That's all.","Okay, Just to confirm you would like to order sweet and sour chicken with noodles. Is that correct? OK. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-0432d350-ff4f-4fd8-82c3-4a50c88b0888,dlg-0432d350-ff4f-4fd8-82c3-4a50c88b0888_2_5,"Hello. I would like to place an order for takeout. I would like pizza, please. That'll just be two people, please.",Ok. What type of pizza?,train
dlg-0432d350-ff4f-4fd8-82c3-4a50c88b0888,dlg-0432d350-ff4f-4fd8-82c3-4a50c88b0888_6_13,I would like one large pepperoni and sausage pizza. Could I also get one 2-L of Sprite cola?,"""OK. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.""",train
dlg-0460c70c-34cb-43c5-affb-952f7365be73,dlg-0460c70c-34cb-43c5-affb-952f7365be73_2_3,"Hello, I need to order food takeout food for three people, and I need to order some soup.",Soup. What kind?,train
dlg-0460c70c-34cb-43c5-affb-952f7365be73,dlg-0460c70c-34cb-43c5-affb-952f7365be73_4_11,I need three large bowls of chicken noodle. And also I need three large Diet Cokes to go with them.,Just to confirm you would like to order three large bowls of chicken noodle soup and 3 Diet Cokes. Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-05a3965e-312b-429c-be3c-6c2d1c42c6d0,dlg-05a3965e-312b-429c-be3c-6c2d1c42c6d0_1_2,"Hi assistant, I'm looking to order some food for takeout for two people, and I'd like to order some soup, please.",What kind of soup would you prefer? Just to confirm you would like to have a large clam chowder with some crispy bread crumbs.,train
dlg-05a3965e-312b-429c-be3c-6c2d1c42c6d0,dlg-05a3965e-312b-429c-be3c-6c2d1c42c6d0_3_6,"That's correct, large clam chowder.",Ok. I have your details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-061066f5-b9d3-4537-9d77-a94233473558,dlg-061066f5-b9d3-4537-9d77-a94233473558_0_3,Hello. I need to reorder something I ordered last weekend for takeout. It was from Sarah's Pizza.,"Okay, it was 1 large pizza with one half pepperoni and one half mushroom. Is that correct?",train
dlg-061066f5-b9d3-4537-9d77-a94233473558,dlg-061066f5-b9d3-4537-9d77-a94233473558_6_14,"I need to add one salad with house dressing, please.","One salad with house dressing, okay. Alright. So, I have 1 large pizza with one half pepperoni and one half mushroom and a salad with house dressing. Okay. Your order will be ready for pick-up in about 20 minutes.",train
dlg-06800509-feaf-4411-a260-9a358abe5f32,dlg-06800509-feaf-4411-a260-9a358abe5f32_0_5,"Yeah, I need to place an order for pickup on burritos. I need six burritos three of them with chicken and two of them with beef and one of them with pork","Okay, so your order is 6 burritos three of them with chicken and two of them with beef and one of them with pork. You also need 3 large drinks, what style of drinks would you like?",test
dlg-06800509-feaf-4411-a260-9a358abe5f32,dlg-06800509-feaf-4411-a260-9a358abe5f32_6_13,Coke.,"You have six burritos three of them with chicken and two of them with beef and one of them with pork with three large Cokes, is that correct? I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",test
dlg-0685c410-3ff3-4ca7-ba16-0c5171de3933,dlg-0685c410-3ff3-4ca7-ba16-0c5171de3933_1_2,"Hello, I need to order takeout food for three people. I'm looking for Breakfast burritos.","Breakfast burritos, what kind?",train
dlg-0685c410-3ff3-4ca7-ba16-0c5171de3933,dlg-0685c410-3ff3-4ca7-ba16-0c5171de3933_3_8,"I needed to order three large bacon egg sausage and cheese burritos with a side of guacamole, mild salsa, hot salsa, and sour cream.","Just to confirm you would like to order three large Bacon Eggs Sausage and Cheese Burrito with a side of Guacamole Mild Salsa, Hot Salsa, and Sour Cream, is that correct? ""Okay, can I have your details on file. Your order will be ready for pick-up in about 20 minutes.""",train
dlg-068b2ad4-8f09-4417-87be-fd3b387ddd40,dlg-068b2ad4-8f09-4417-87be-fd3b387ddd40_2_6,"I want to get some hamburgers for dinner tonight. Can you help us out? Can we get two burgers with pickles and extra onion, ketchup and no tomato?","Just to confirm, your order is two burgers with pickles, extra onions and ketchup excluding tomatoes.",train
dlg-068b2ad4-8f09-4417-87be-fd3b387ddd40,dlg-068b2ad4-8f09-4417-87be-fd3b387ddd40_8_12,It's one with Pickles and extra onions. And the other with ketchup. And the tomato order.,"Okay, one with pickles and extra onions and other with ketchup and no tomatoes. Would you like to add some fries to it?",train
dlg-068b2ad4-8f09-4417-87be-fd3b387ddd40,dlg-068b2ad4-8f09-4417-87be-fd3b387ddd40_13_20,"That's a good idea. Can I get a small order of fries, as well?",Would you prefer garlic fries? Plain fries added to your order. Would you like to have something to drink? Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-06a169dc-2913-4346-bd15-190ce5fb6559,dlg-06a169dc-2913-4346-bd15-190ce5fb6559_2_7,I want to order some take-out for two. I want some poke. Can I get two poke aloha bowls and four poke tacos?,2 orders of poke aloha bowls and 4 poke tacos. Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-06af4900-e9c9-4526-9621-7f4c102cf662,dlg-06af4900-e9c9-4526-9621-7f4c102cf662_2_3,"Hi, I would like to order Chinese food to take-out for two people.",What would you prefer in Chinese food?,train
dlg-06af4900-e9c9-4526-9621-7f4c102cf662,dlg-06af4900-e9c9-4526-9621-7f4c102cf662_4_6,I would like to order barbecue spare ribs with pork-fried rice and fried chicken wings.,"Just to confirm you would like to order barbecue spare ribs, chicken wings with pork fried rice, is that correct?",train
dlg-06af4900-e9c9-4526-9621-7f4c102cf662,dlg-06af4900-e9c9-4526-9621-7f4c102cf662_9_17,"Yes, a can of Mountain Dew.",Would you like to add some rib sauce? Would you like to add some rib sauce? I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-06e5677b-6e83-41db-bea2-16cab53f1d47,dlg-06e5677b-6e83-41db-bea2-16cab53f1d47_1_7,I'd like to order takeout for two people. I would like to order two bacon cheeseburgers and two fries.,Two bacon cheese burgers and two orders of fries. Does that complete your order? Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-06e78062-2747-476f-b04a-2e76a458e238,dlg-06e78062-2747-476f-b04a-2e76a458e238_1_6,I'd like to order takeout for one person. I would like one order of poke.,"One order of poke, would you like any sides with that? And how spicy would you like your poke bowl?",train
dlg-06e78062-2747-476f-b04a-2e76a458e238,dlg-06e78062-2747-476f-b04a-2e76a458e238_7_8,Mild.,Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-072b3156-9fab-408c-b5da-0c22c2721724,dlg-072b3156-9fab-408c-b5da-0c22c2721724_0_6,"Yes, I'm ordering food for three people. We would like to order Greek, please. We are ordering three Gyros, extra sour cream, large fries on the side with packets of ketchup and three large ice tea. Can we get two orders of mozzarella sticks, please? And that should be it.","You would like to order 3 Gyros with sour cream and packets of ketchup, large fries, 3 large ice tea and two order of mozzarella sticks.",train
dlg-072b3156-9fab-408c-b5da-0c22c2721724,dlg-072b3156-9fab-408c-b5da-0c22c2721724_7_8,Yes and three iced teas.,3 large iced tea.,train
dlg-072b3156-9fab-408c-b5da-0c22c2721724,dlg-072b3156-9fab-408c-b5da-0c22c2721724_9_17,And two order of mozzarella sticks.,"And two orders of mozzarella sticks. You would like to order 3 gyros with sour cream and packets of ketchup, large fries, 3 large iced tea and two orders of mozzarella sticks, is that correct? Okay, I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-0788c23a-40e2-42d0-b46b-dc06f2ded94b,dlg-0788c23a-40e2-42d0-b46b-dc06f2ded94b_1_2,Hi. I'd like to order some takeout today for two people. I like sandwiches.,"Okay, takeout for 2?",train
dlg-0788c23a-40e2-42d0-b46b-dc06f2ded94b,dlg-0788c23a-40e2-42d0-b46b-dc06f2ded94b_3_6,"Yeah, I'd like to have two cheese burgers, a side of large fries and a 2 litres Pepsi.",Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1,dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1_2_3,"Yeah, I'd like to place an order for some Indian food.",I can help you with your Indian food take out order. What would you like to order?,train
dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1,dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1_5_7,I'd like to get two orders of tandoori chicken. And one order of Indian lamb curry.,"I have two orders of tandoori chicken and one order of Indian lamb Curry, anything else?",train
dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1,dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1_8_16,"Yeah, I need some kind of salads with those.","Let me check what kind of salads they have. Watermelon, Paneer & Mung Salad. Heirloom Tomatoes & Idiappam. And a regular house salad with your choice of dressing.",train
dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1,dlg-07a5eb77-8852-41f7-a885-bf6c2c9404d1_17_20,"Yeah, let me just have three regular house salads, one with no tomatoes, and three ranch with those.","I will add the three house salads to order with ranch dressing one salad without tomatoes. Okay, I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-07bb4859-19e7-48ae-a504-70e2a1c1c4f4,dlg-07bb4859-19e7-48ae-a504-70e2a1c1c4f4_0_9,"I'd like to take out some food. Two people. I'd like to order some Mexican food. I'd like some tortillas, some taco salad and enchiladas and a burrito.","Okay, I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-07f6fe6a-5cf4-40f5-bd91-c0f400a0e146,dlg-07f6fe6a-5cf4-40f5-bd91-c0f400a0e146_1_2,I just need three hot dogs for three people with chili and cheese.,I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-08075f28-b2dc-4ebc-bfd7-08b2b4abd91b,dlg-08075f28-b2dc-4ebc-bfd7-08b2b4abd91b_2_6,"Hi. I'd like to order a pizza with half mushroom, half olives and also, I'd like to get a Caesar salad on the side. And We'll have one bottle of Morrell Wine.","One half mushroom and half olive pizza with a side caesar salad and a bottle of merlot wine. Does that sound correct? Okay, I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-080ad2ae-5f07-4cbd-88ed-bb0893898f5c,dlg-080ad2ae-5f07-4cbd-88ed-bb0893898f5c_0_9,"Hi, I'd like to order one sandwich for myself. I'd like to get a turkey with Swiss cheese, Bacon and Lettuce, with the honey-mustard on top, and a slice of tomato on an onion roll.","You said one sandwich. Is that correct? Just to confirm, you would like to order one turkey sandwich with Swiss cheese bacon, lettuce and tomatoes? And what sauce?",train
dlg-080ad2ae-5f07-4cbd-88ed-bb0893898f5c,dlg-080ad2ae-5f07-4cbd-88ed-bb0893898f5c_10_11,We're liking the honey mustard.,Honey mustard. Anything else?,train
dlg-080ad2ae-5f07-4cbd-88ed-bb0893898f5c,dlg-080ad2ae-5f07-4cbd-88ed-bb0893898f5c_12_17,"Yes. I'd like a sour pickle on the side and some baby carrots on the side, because I like to eat with my puppy, and she's not allowed to have a pickle, so I get her sweet carrots.","Just to confirm, you would like to order turkey sandwich with Swiss cheese, bacon, lettuce and tomatoes with honey mustard and one sour pickle and baby carrots. Is that correct? Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes. Enjoy your sandwich.",train
dlg-08287da0-9b1e-4471-8f01-7e3a47958987,dlg-08287da0-9b1e-4471-8f01-7e3a47958987_1_8,"I need to order take-out food. Okay, three people. And I just want three orders of the the appetizer dish. The tartar, I guess. Is that what I should ask for?",Okay. I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.,train
dlg-082d002c-82b7-4aa7-82fe-e19394fc7ea3,dlg-082d002c-82b7-4aa7-82fe-e19394fc7ea3_1_6,Can you take an order for pasta? It's just for myself tonight. I want two macaroni and cheeses with extra oregano and some fettuccine.,"Any drinks with that? Okay, I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-082d002c-82b7-4aa7-82fe-e19394fc7ea3,dlg-082d002c-82b7-4aa7-82fe-e19394fc7ea3_7_8,Is the fettuccine just one standard size?,There is a small and a large.,train
dlg-085061db-95af-4dd9-9b0b-a05755678873,dlg-085061db-95af-4dd9-9b0b-a05755678873_1_4,"Hi. I need help finding a burger joint to order from. I'm looking for two cheese burgers with pickles, milanese, Ketchup with a salad order of French flies.","Two cheese burgers with pickles, mayo and ketchup, with an order of fries. Anything else?",train
dlg-085061db-95af-4dd9-9b0b-a05755678873,dlg-085061db-95af-4dd9-9b0b-a05755678873_5_7,It has to be a take out restaurant.,"Okay, I have your personal details on file. Your order will be ready for pick-up in about 20 minutes.",train
dlg-0923d68b-08ce-4992-85d5-3933c7deddc8,dlg-0923d68b-08ce-4992-85d5-3933c7deddc8_2_5,I'd like to place a reorder a meal for takeout. Could you help me with my last order from Sarah's Pizza?,You had 1 large pizza with one half pepperoni and one half mushroom.,train
dlg-0923d68b-08ce-4992-85d5-3933c7deddc8,dlg-0923d68b-08ce-4992-85d5-3933c7deddc8_10_13,"Yeah, I'd like to add one salad with house dressing.","Okay. Let me confirm you have 1 large pizza with one half pepperoni and one half mushroom and a salad with house dressing. Is that right? Okay, your order will be ready for pick-up in about 20 minutes.",train
