conversation_id,example_id,input_text,target_text,split
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_0_5,Hi. My favorite baseball team is St. Louis Cardinals and I want to ask how they're doing currently.,It's in the 3rd place in National League Central. There is no game today.,train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_6_11,Did they played last Saturday?,"Yes, they played against Diamondbacks. It's 2-3 and they won. Mike Matheny is the manager.",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_0_1,What place are the LA Dodgers in?,The LA Dodgers are currently in first place in the National League West with 92 wins and 52 losses.,train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_2_5,Who will they play next Saturday?,"Next Saturday they will be playing Washington Nationals at 10:05 a.m. In the last game the Dodgers actually lost, unfortunately Tehran has a 10 game losing streak.",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_6_7,Who's in last place in the American League East?,Right now in last place in the American League East is Toronto Blue Jays.,train
dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_0_7,"I'm a big fan of West Ham United, and I'd like to ask you what place is West Ham United in?","West Ham United is currently in 18th Place with a total of 13 points. West Ham's last game was against Chelsea, they won that game with a score of 1-0. They won the game 1-0.",test
dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1,dlg-0011cca8-a3e2-4155-b1a5-c2a93c84e3d1_8_9,Who is their goalkeeper?,Joe Hart is the starting goalkeeper for West Ham United.,test
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_1_2,What place are the Chicago Fire in?,"Chicago Fire is in third place in the Eastern Conference with 13 wins, 9 losses and 6 draws.",train
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_3_4,Okay. Do they play today?,"No, they'll play tomorrow against DC United at 5:30 PM.",train
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_5_6,Who did they played on last Saturday?,"On last Saturday, September 9th, they played against New York Red Bulls and it was a draw with the score 1-1.",train
dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29,dlg-0032fb90-18ce-45cd-a360-ab4b139a5d29_9_10,Who is their goalkeeper?,Matt Lampson.,train
dlg-004ef8ca-ef77-4564-980c-3705c3c681fe,dlg-004ef8ca-ef77-4564-980c-3705c3c681fe_0_10,"Hey, can you tell me how the Seattle Sounders did in their last game?",Seattle Sounders won their last game 1-0. They're currently in 8th Place of the Western Conference. 4 wins and 5 losses. Their next game is today at 4:30 p.m. They're playing Columbus.,train
dlg-00670402-e32d-49e5-9431-f47d52e583b2,dlg-00670402-e32d-49e5-9431-f47d52e583b2_1_2,"Hi, What place is the Chelsea in, The Chelsea Football Club?",Chelsea is in the fourth place with five wins 3 losses and one draw.,validation
dlg-00670402-e32d-49e5-9431-f47d52e583b2,dlg-00670402-e32d-49e5-9431-f47d52e583b2_3_8,"Okay, Do they play today?","No, They will play next against Bournemouth on October 28th. Their last game played was yesterday against Everton and Chelsea won the game with the score 2-1. Antonio Conte is their manager.",validation
dlg-00670402-e32d-49e5-9431-f47d52e583b2,dlg-00670402-e32d-49e5-9431-f47d52e583b2_9_10,"Okay, And who's their striker?",Alvaro Morata is one of their striker.,validation
dlg-00990236-42b9-45a3-b28e-e0d668c0b64f,dlg-00990236-42b9-45a3-b28e-e0d668c0b64f_1_8,What place are the Brooklyn Nets in? Yes. What place are the Brooklyn Nets in?,Brooklyn Nets are in the 13th Place with 18 wins and 29 losses. Their last game played was on January 21st against the Pistons and Nets won the game with the score 101-100.,validation
dlg-00990236-42b9-45a3-b28e-e0d668c0b64f,dlg-00990236-42b9-45a3-b28e-e0d668c0b64f_9_12,Who is their starting center?,Jahlil Okafor is the starting center. Kenny Atkinson is their head coach.,validation
dlg-00c1c52c-f21a-4e08-9319-9b5e3b1186fa,dlg-00c1c52c-f21a-4e08-9319-9b5e3b1186fa_0_9,Hi Assistant. I'm looking for some information on Manchester United.,What would you like to know about Manchester United? They're currently in second place in the English Premier League. Six matches so far. They will play next on September 30th against Crystal Palace. Their last game was 4-1 win against Cska Moscow in Champions League group stage.,train
dlg-00c1c52c-f21a-4e08-9319-9b5e3b1186fa,dlg-00c1c52c-f21a-4e08-9319-9b5e3b1186fa_10_11,Who's their backup striker?,Their backup Striker is Marcus Rashford.,train
dlg-00c1c52c-f21a-4e08-9319-9b5e3b1186fa,dlg-00c1c52c-f21a-4e08-9319-9b5e3b1186fa_12_14,Who's their main striker? Who's their main striker? you've been very helpful today. Thank you very much.,The starting Striker is Romelu Lukaku. Okay. Bye.,train
dlg-00c58228-bf0b-4912-952b-2e31fb7d186a,dlg-00c58228-bf0b-4912-952b-2e31fb7d186a_1_2,Yeah. What place are the San Francisco Giants in?,The Giants are currently in last place in the National League West with 52 wins and 77 losses.,train
dlg-00c58228-bf0b-4912-952b-2e31fb7d186a,dlg-00c58228-bf0b-4912-952b-2e31fb7d186a_3_4,Okay. Do they play today?,They will play today at 6:40 PM versus the Diamondbacks.,train
dlg-00c58228-bf0b-4912-952b-2e31fb7d186a,dlg-00c58228-bf0b-4912-952b-2e31fb7d186a_5_8,Okay. Who will they play on Saturday?,On Saturday they will be playing against the Diamondbacks at 5:10 PM. The last game they won by 4-2 versus the Brewers.,train
dlg-00c58228-bf0b-4912-952b-2e31fb7d186a,dlg-00c58228-bf0b-4912-952b-2e31fb7d186a_9_10,Okay. And who's in last place in the American League East?,The Blue Jays are in last place in the American League East.,train
dlg-00c5c1b2-fe32-4fb9-a9a9-976ff500d7ac,dlg-00c5c1b2-fe32-4fb9-a9a9-976ff500d7ac_0_9,Hi. How is Stoke City doing? How is Stoke City doing in English Premier soccer team?,I see that currently in 16th Place in the English premier league. They're not scheduled to play today. Their next game is going to be on August 19th against the Arsenal FC. They lost their last game. The score was 1 and 0.,train
dlg-00c5c1b2-fe32-4fb9-a9a9-976ff500d7ac,dlg-00c5c1b2-fe32-4fb9-a9a9-976ff500d7ac_10_11,Okay. And who's their goalkeeper?,Their goalkeeper is Jack Butland.,train
dlg-00dd67e4-2c38-4469-8142-f02275ad1b1e,dlg-00dd67e4-2c38-4469-8142-f02275ad1b1e_1_2,"Hi, I was wondering about the NBA Finals. Who's predicted to win, and in how many games?",The Warriors are favored to win. But in how many games it varies.,test
dlg-00dd67e4-2c38-4469-8142-f02275ad1b1e,dlg-00dd67e4-2c38-4469-8142-f02275ad1b1e_5_8,"Okay. Who do you think will make a bigger impact, Draymond Green or Kevin Love?",Are you a Cavalier fan? If so your pick is Love.,test
dlg-00dd67e4-2c38-4469-8142-f02275ad1b1e,dlg-00dd67e4-2c38-4469-8142-f02275ad1b1e_9_12,"Who's big three is averaging more points a game, Cleveland or Golden State?",So far it's Cleveland's big three making an impact.,test
dlg-00e29d9d-9b31-44c8-bcc1-46bca21f9107,dlg-00e29d9d-9b31-44c8-bcc1-46bca21f9107_1_6,Hi. I'd some questions about the English Premier League. Could you tell me what place Southampton is in?,Southampton is in the 12th Place with two wins 3 losses and 2 draws. So far they have played Seven matches. Their last match was played against Stoke City on September 30th and Southampton lost the game when the score to 2-1.,train
dlg-00e29d9d-9b31-44c8-bcc1-46bca21f9107,dlg-00e29d9d-9b31-44c8-bcc1-46bca21f9107_7_10,The score was 2-1? Okay. And who is their striker?,Shane Long is their striker.,train
