conversation_id,utterance_id,turn_id,speaker,text,segments,split
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_2,2,ASSISTANT,What would you like to order in Barbecue?,"[{""start_index"":32,""end_index"":40,""text"":""Barbecue"",""annotations"":[{""name"":""food_order.type.food""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_3,3,USER,"Yeah, I'd like to get a rack of ribs.","[{""start_index"":22,""end_index"":36,""text"":""a rack of ribs"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_5,5,ASSISTANT,"With rack of ribs, I would suggest Barbecue sauce.","[{""start_index"":0,""end_index"":17,""text"":""With rack of ribs"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":35,""end_index"":49,""text"":""Barbecue sauce"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_6,6,USER,"Yeah. Of course, I want the barbecue sauce and ribs, but I'm talking about sides. You know, like slaw or macaroni and cheese. I want I'd like macaroni and cheese, if they got it.","[{""start_index"":28,""end_index"":42,""text"":""barbecue sauce"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":47,""end_index"":51,""text"":""ribs"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":97,""end_index"":124,""text"":""slaw or macaroni and cheese"",""annotations"":[{""name"":""food_order.other_description.item""}]},{""start_index"":105,""end_index"":124,""text"":""macaroni and cheese"",""annotations"":[{""name"":""food_order.other_description.item""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_8,8,USER,"No, I'd like to get a salad with that. No tomatoes, with ranch dressing.","[{""start_index"":39,""end_index"":71,""text"":""No tomatoes, with ranch dressing"",""annotations"":[{""name"":""food_order.other_description.item""}]},{""start_index"":20,""end_index"":27,""text"":""a salad"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_9,9,ASSISTANT,Salad with no tomatoes and ranch dressing has been added to your order.,"[{""start_index"":0,""end_index"":5,""text"":""Salad"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":6,""end_index"":41,""text"":""with no tomatoes and ranch dressing"",""annotations"":[{""name"":""food_order.other_description.item""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_10,10,ASSISTANT,Is there anything else you would like to add like fries or drinks?,"[{""start_index"":50,""end_index"":55,""text"":""fries"",""annotations"":[{""name"":""food_order.type.food""}]},{""start_index"":59,""end_index"":65,""text"":""drinks"",""annotations"":[{""name"":""food_order.type.food""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_11,11,USER,"Can I get a potato, a baked potato?","[{""start_index"":12,""end_index"":18,""text"":""potato"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":22,""end_index"":34,""text"":""baked potato"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_12,12,USER,"A Diet Coke or Pepsi, whichever one they have.","[{""start_index"":0,""end_index"":11,""text"":""A Diet Coke"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":15,""end_index"":20,""text"":""Pepsi"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_13,13,ASSISTANT,Baked potato and diet coke has been added to the order.,"[{""start_index"":0,""end_index"":12,""text"":""Baked potato"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":17,""end_index"":26,""text"":""diet coke"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_17,17,ASSISTANT,"Okay, I have your personal details on file, your order will be ready in 20 minutes.","[{""start_index"":72,""end_index"":82,""text"":""20 minutes"",""annotations"":[{""name"":""food_order.time.pickup""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_2,2,ASSISTANT,You were ordering Italian food?,"[{""start_index"":18,""end_index"":25,""text"":""Italian"",""annotations"":[{""name"":""food_order.type.food""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_3,3,USER,"Oh, that's right. Can I order takeout for two people, please, for Italian?","[{""start_index"":30,""end_index"":37,""text"":""takeout"",""annotations"":[{""name"":""food_order.type.retrieval""}]},{""start_index"":42,""end_index"":52,""text"":""two people"",""annotations"":[{""name"":""food_order.num.people""}]},{""start_index"":66,""end_index"":73,""text"":""Italian"",""annotations"":[{""name"":""food_order.type.food""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_4,4,USER,"Can I order takeout for two people, please, for Italian?","[{""start_index"":12,""end_index"":19,""text"":""takeout"",""annotations"":[{""name"":""food_order.type.retrieval""}]},{""start_index"":24,""end_index"":34,""text"":""two people"",""annotations"":[{""name"":""food_order.num.people""}]},{""start_index"":48,""end_index"":55,""text"":""Italian"",""annotations"":[{""name"":""food_order.type.food""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_5,5,ASSISTANT,"Sure, What would you like to order in Italian food.","[{""start_index"":38,""end_index"":45,""text"":""Italian"",""annotations"":[{""name"":""food_order.type.food""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_6,6,USER,"Can I get chicken fettuccine alfredo and Spaghetti and meatballs, please.","[{""start_index"":10,""end_index"":36,""text"":""chicken fettuccine alfredo"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":41,""end_index"":50,""text"":""Spaghetti"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":55,""end_index"":64,""text"":""meatballs"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_7,7,ASSISTANT,Just to confirm you would like to order chicken fettuccine alfredo and spaghetti with meatballs.,"[{""start_index"":40,""end_index"":66,""text"":""chicken fettuccine alfredo"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":71,""end_index"":95,""text"":""spaghetti with meatballs"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_9,9,ASSISTANT,Would you like to add something as sides like garlic bread.,"[{""start_index"":46,""end_index"":58,""text"":""garlic bread"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_10,10,USER,"Yes. Can I get a garlic bread too, please? And. Couple packets of Parmesan cheese, please.","[{""start_index"":17,""end_index"":29,""text"":""garlic bread"",""annotations"":[{""name"":""food_order.name.item""}]},{""start_index"":48,""end_index"":81,""text"":""Couple packets of Parmesan cheese"",""annotations"":[{""name"":""food_order.other_description.item""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_11,11,USER,"Couple packets of Parmesan cheese, please.","[{""start_index"":0,""end_index"":33,""text"":""Couple packets of Parmesan cheese"",""annotations"":[{""name"":""food_order.other_description.item""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_12,12,ASSISTANT,Just to confirm you would like to add garlic bread and packets of Parmesan cheese.,"[{""start_index"":38,""end_index"":50,""text"":""garlic bread"",""annotations"":[{""name"":""food_order.other_description.item""}]},{""start_index"":55,""end_index"":81,""text"":""packets of Parmesan cheese"",""annotations"":[{""name"":""food_order.other_description.item""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_15,15,USER,Can I get a 2-L bottle of orange soda?,"[{""start_index"":12,""end_index"":37,""text"":""2-L bottle of orange soda"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_16,16,ASSISTANT,"Yes, two-liter bottle of orange soda added to your order.","[{""start_index"":5,""end_index"":36,""text"":""two-liter bottle of orange soda"",""annotations"":[{""name"":""food_order.name.item""}]}]",train
