conversation_id,utterance_id,turn_id,speaker,text,segments,split
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_0,0,USER,Hi. My favorite baseball team is St. Louis Cardinals and I want to ask how they're doing currently.,"[{""start_index"":33,""end_index"":52,""text"":""St. Louis Cardinals"",""annotations"":[{""name"":""mlb.name.team""}]}]",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_4,4,ASSISTANT,It's in the 3rd place in National League Central.,"[{""start_index"":12,""end_index"":21,""text"":""3rd place"",""annotations"":[{""name"":""mlb.place.team""}]}]",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_5,5,ASSISTANT,There is no game today.,"[{""start_index"":17,""end_index"":22,""text"":""today"",""annotations"":[{""name"":""mlb.day.match""}]}]",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_6,6,USER,Did they played last Saturday?,"[{""start_index"":16,""end_index"":29,""text"":""last Saturday"",""annotations"":[{""name"":""mlb.day.match""}]}]",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_7,7,ASSISTANT,"Yes, they played against Diamondbacks.","[{""start_index"":25,""end_index"":37,""text"":""Diamondbacks"",""annotations"":[{""name"":""mlb.name.team""}]}]",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_9,9,ASSISTANT,It's 2-3 and they won.,"[{""start_index"":5,""end_index"":8,""text"":""2-3"",""annotations"":[{""name"":""mlb.score.match""}]},{""start_index"":13,""end_index"":21,""text"":""they won"",""annotations"":[{""name"":""mlb.result.match""}]}]",train
dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8,dlg-0004d9ce-d9c4-4c20-a744-e25c053ea9b8_11,11,ASSISTANT,Mike Matheny is the manager.,"[{""start_index"":0,""end_index"":12,""text"":""Mike Matheny"",""annotations"":[{""name"":""mlb.name.non_player""}]}]",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_0,0,USER,What place are the LA Dodgers in?,"[{""start_index"":19,""end_index"":29,""text"":""LA Dodgers"",""annotations"":[{""name"":""mlb.name.team""}]}]",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_1,1,ASSISTANT,The LA Dodgers are currently in first place in the National League West with 92 wins and 52 losses.,"[{""start_index"":4,""end_index"":14,""text"":""LA Dodgers"",""annotations"":[{""name"":""mlb.name.team""}]},{""start_index"":32,""end_index"":43,""text"":""first place"",""annotations"":[{""name"":""mlb.place.team""}]},{""start_index"":77,""end_index"":84,""text"":""92 wins"",""annotations"":[{""name"":""mlb.record.team""}]},{""start_index"":89,""end_index"":98,""text"":""52 losses"",""annotations"":[{""name"":""mlb.record.team""}]}]",train
dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39,dlg-000ff7e6-03d2-49f2-bc35-7facd64c3a39_2,2,USER,Who will they play next Saturday?,"[{""start_index"":19,""end_index"":32,""text"":""next Saturday"",""annotations"":[{""name"":""mlb.day.match""}]}]",train
