conversation_id,example_id,source_id,input_text,target_text,split
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_1_12__g1,dlg-00355990-b529-47ab-a52a-f29b4186ed29_1_12,"Zoccoli's Delicatessen at 1534 Pacific Avenue. Next, The Sandwich Spot at 1010 Pacific Avenue. Here’s the next one. Erik’s Deli Cafe at 155 Walnut Avenue. Here’s the next one. Togo’s Sandwiches at 902 Ocean Street. Last one. The Picnic Basket at 125 Beach Street.","First is Zoccoli's Delicatessen at 1534 Pacific Avenue. Next is The Sandwich Spot at 1010 Pacific Avenue. Following that is Erik’s Deli Cafe at 155 Walnut Avenue. Then there is Togo’s Sandwiches at 902 Ocean Street. Finally, there is The Picnic Basket at 125 Beach Street.",train
dlg-00355990-b529-47ab-a52a-f29b4186ed29,dlg-00355990-b529-47ab-a52a-f29b4186ed29_1_12__g2,dlg-00355990-b529-47ab-a52a-f29b4186ed29_1_12,"Zoccoli's Delicatessen at 1534 Pacific Avenue. Next, The Sandwich Spot at 1010 Pacific Avenue. Here’s the next one. Erik’s Deli Cafe at 155 Walnut Avenue. Here’s the next one. Togo’s Sandwiches at 902 Ocean Street. Last one. The Picnic Basket at 125 Beach Street.",You have Zoccoli's Delicatessen at 1534 Pacific Avenue. Next is The Sandwich Spot at 1010 Pacific Avenue. Here is the next one: Erik’s Deli Cafe at 155 Walnut Avenue. Then comes Togo’s Sandwiches at 902 Ocean Street. The last one is The Picnic Basket at 125 Beach Street.,train
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_1_5__g1,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_1_5,"I have Wildflower Cafe and Bakery, Chester's Chicken, The Big Blue Cafe.","I have Wildflower Cafe and Bakery, Chester's Chicken, and The Big Blue Cafe.",test
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_1_5__g2,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_1_5,"I have Wildflower Cafe and Bakery, Chester's Chicken, The Big Blue Cafe.","The options I have are Wildflower Cafe and Bakery, Chester's Chicken, and The Big Blue Cafe.",test
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_6_9__g1,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_6_9,Causal. $8 to $10.,Causal. It costs between $8 and $10.,test
dlg-004997dc-c28d-4cd5-85f2-1e155093c57c,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_6_9__g2,dlg-004997dc-c28d-4cd5-85f2-1e155093c57c_6_9,Causal. $8 to $10.,Causal. The price range is $8 to $10.,test
dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_1_2__g1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_1_2,"I see that you're in Austin, Texas. Is that where you would like me to find you a restaurant?","I notice you are currently in Austin, Texas. Would you like me to search for a restaurant in that location?",train
dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_1_2__g2,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_1_2,"I see that you're in Austin, Texas. Is that where you would like me to find you a restaurant?","I see that your location is Austin, Texas. Is this the area where you want me to find a restaurant for you?",train
dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_5_6__g1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_5_6,"Okay, got it. You want burgers and fries. Tell me more about what else you're looking for in the restaurant so I can narrow your choices down.","Understood. Since you're looking for burgers and fries, could you tell me about any other preferences you have for the restaurant so I can refine the options for you?",train
dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_5_6__g2,dlg-005a1861-bf2f-4ade-9ed1-025a4a5aabc1_5_6,"Okay, got it. You want burgers and fries. Tell me more about what else you're looking for in the restaurant so I can narrow your choices down.",I've noted that you want burgers and fries. Please tell me more about what else you're looking for in a restaurant so I can narrow down the choices for you.,train
