conversation_id,example_id,source_id,input_text,target_text,split
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_0_2__g1,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_0_2,"San Francisco to Denver, got it.",I've noted your flight from San Francisco to Denver.,validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_0_2__g2,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_0_2,"San Francisco to Denver, got it.","Understood, you're looking for a flight from San Francisco to Denver.",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_6_9__g1,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_6_9,That's right okay we have prices starting at $337.,That is correct; we have prices beginning at $337.,validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_6_9__g2,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_6_9,That's right okay we have prices starting at $337.,"You are right, our prices start from $337.",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_10_14__g1,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_10_14,"Okay, Non-Stop and if I heard you correctly did you say you wanted to leave as early as possible and also Nile C. Okay, you got it so it looks like United Airlines leaves at 9:20 p.m. that is nonstop the flight duration is 2 hours and 28 minutes and is priced at $337.","Alright, you're looking for a non-stop flight and, if I understood you correctly, you'd like to depart as early as possible to Nile C. Okay. I have found a United Airlines flight departing at 9:20 p.m. It is a nonstop flight with a duration of 2 hours and 28 minutes, priced at $337.",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_10_14__g2,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_10_14,"Okay, Non-Stop and if I heard you correctly did you say you wanted to leave as early as possible and also Nile C. Okay, you got it so it looks like United Airlines leaves at 9:20 p.m. that is nonstop the flight duration is 2 hours and 28 minutes and is priced at $337.","So, for a non-stop trip to Nile C. Okay, and since you want the earliest possible departure, I see that United Airlines has a nonstop flight at 9:20 p.m. The flight lasts 2 hours and 28 minutes and costs $337.",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_17_19__g1,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_17_19,How does 5:30 a.m. work?,What is the situation with the 5:30 a.m. time?,validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_17_19__g2,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_17_19,How does 5:30 a.m. work?,Could you explain how the 5:30 a.m. slot works?,validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_20_24__g1,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_20_24,"Alright, perfect so that is United Airlines as well.","Okay, perfect, so that is United Airlines as well.",validation
dlg-00100680-00e0-40fe-8321-6d81b21bfc4f,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_20_24__g2,dlg-00100680-00e0-40fe-8321-6d81b21bfc4f_20_24,"Alright, perfect so that is United Airlines as well.","Alright, that's great, so it is United Airlines too.",validation
dlg-0027f924-7723-48bc-bf18-e41c03b0e709,dlg-0027f924-7723-48bc-bf18-e41c03b0e709_1_2__g1,dlg-0027f924-7723-48bc-bf18-e41c03b0e709_1_2,Okay from JFK to seattle.,"Alright, from JFK to Seattle.",test
