conversation_id,example_id,source_id,input_text,target_text,split
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_3_5__g1,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_3_5,"With rack of ribs, I would suggest Barbecue sauce.",I would recommend Barbecue sauce to go with the rack of ribs.,train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_3_5__g2,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_3_5,"With rack of ribs, I would suggest Barbecue sauce.","For the rack of ribs, I'd suggest having some Barbecue sauce.",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_6_10__g1,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_6_10,Salad with no tomatoes and ranch dressing has been added to your order. Is there anything else you would like to add like fries or drinks?,"I have added a salad with ranch dressing and no tomatoes to your order. Would you like to include anything else, such as drinks or fries?",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_6_10__g2,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_6_10,Salad with no tomatoes and ranch dressing has been added to your order. Is there anything else you would like to add like fries or drinks?,"A salad with ranch dressing and no tomatoes has been included in your order. Is there anything else you want to add, like fries or some drinks?",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_11_17__g1,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_11_17,"Baked potato and diet coke has been added to the order. Okay, I have your personal details on file, your order will be ready in 20 minutes.","I've added a baked potato and a diet coke to your order. Since I have your personal details on file, your order will be ready in 20 minutes.",train
dlg-008c75b7-460f-430f-adcf-bd5dcc46854e,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_11_17__g2,dlg-008c75b7-460f-430f-adcf-bd5dcc46854e_11_17,"Baked potato and diet coke has been added to the order. Okay, I have your personal details on file, your order will be ready in 20 minutes.","Your order now includes a baked potato and a diet coke. I have your personal information recorded, and your order will be prepared in 20 minutes.",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_3_5__g1,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_3_5,"Sure, What would you like to order in Italian food.","Of course, what would you like to order from our Italian menu?",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_3_5__g2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_3_5,"Sure, What would you like to order in Italian food.","Certainly, what would you like to order in the Italian food category?",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_6_9__g1,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_6_9,Just to confirm you would like to order chicken fettuccine alfredo and spaghetti with meatballs. Would you like to add something as sides like garlic bread.,"I just want to confirm that you'd like to order the chicken fettuccine alfredo and the spaghetti with meatballs. Would you like to add a side dish, such as garlic bread?",train
dlg-00d882a3-255d-4e15-99cb-f068046d6eb2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_6_9__g2,dlg-00d882a3-255d-4e15-99cb-f068046d6eb2_6_9,Just to confirm you would like to order chicken fettuccine alfredo and spaghetti with meatballs. Would you like to add something as sides like garlic bread.,"Just to make sure, you are ordering the chicken fettuccine alfredo and spaghetti with meatballs. Would you like to include any sides, like garlic bread?",train
